Seed	Name	Team	Grade	Record	Scoring
12.	Andonian, Bryce	Virginia Tech		17-5	Yes
19.	Askey, Tommy	Appalachian State		22-5	Yes
31.	Bianchi, Matty	Little Rock		17-8	Yes
23.	Blaze, Joey	Purdue		17-10	Yes
13.	Blockhus, Michael	Minnesota		15-3	Yes
20.	Brignola, Max	Lehigh		19-7	Yes
6.	Cardenas, Daniel	Stanford		24-6	Yes
14.	Chittum, Cody	Iowa State		15-5	Yes
25.	Chumbley, Trevor	Northwestern		17-11	Yes
5.	Downey, Ryder	Northern Iowa		20-4	Yes
10.	Franek, Jared	Iowa		23-5	Yes
1.	Haines, Levi	Penn State		18-0	Yes
28.	Hill, Jared	Oklahoma		15-11	Yes
7.	Kellar, Peyten	Ohio		22-2	Yes
29.	Lamer, Legend	Cal Poly		14-10	Yes
11.	Lee, Brayton	Indiana		11-2	Yes
9.	Lewan, Will	Michigan		12-7	Yes
26.	Lovett, Johnny	Central Michigan		26-8	Yes
17.	Mauller, Brock	Missouri		16-5	Yes
22.	McGee, DJ	George Mason		24-5	Yes
21.	Revano, Lucas	Pennsylvania		21-9	Yes
8.	Robb, Peyton	Nebraska		21-6	Yes
24.	Saldate, Chase	Michigan State		25-6	Yes
27.	Santiago, Sonny	North Carolina		15-8	Yes
4.	Scott, Ed	NC State		21-5	Yes
3.	Shapiro, Meyer	Cornell		23-2	Yes
33.	Stampoulos, Nick	Buffalo		22-17	Yes
15.	Swensen, Cael	South Dakota State		20-8	Yes
2.	Teemer, Jacori	Arizona State		21-3	Yes
16.	Travis, Teague	Oklahoma State		20-5	Yes
30.	Washleski, Colton	Rider		29-8	Yes
32.	Wilcox, Isaac	Ohio State		20-10	Yes
18.	Zerban, Vinny	Northern Colorado		24-2	Yes
