Seed	Name	Team	Grade	Record	Scoring
6.	Arujau, Vito	Cornell		13-2	Yes
7.	Bailey, Nasir	Little Rock		23-2	Yes
25.	Basile, Braden	Army West Point		22-12	Yes
16.	Bouzakis, Nic	Ohio State		23-9	Yes
17.	Brown, Braxton	Maryland		21-10	Yes
18.	Cardinal, Derrick	South Dakota State		22-10	Yes
24.	Chlebove, Julian	Arizona State		18-8	Yes
28.	Colaiocco, Michael	Pennsylvania		15-10	Yes
2.	Crookham, Ryan	Lehigh		18-0	Yes
33.	Dunham, Dyson	VMI		20-13	Yes
19.	Farber, Julian	Northern Iowa		20-9	Yes
1.	Fix, Daton	Oklahoma State		17-0	Yes
8.	Frost, Evan	Iowa State		18-4	Yes
29.	Koelzer, Jace	Oklahoma		19-12	Yes
12.	Latona, Sam	Virginia Tech		20-7	Yes
30.	Leake, Hunter	California Baptist		18-9	Yes
31.	Leete, Maximilian	American		18-11	Yes
26.	Moore, Kade	Missouri		11-5	Yes
10.	Nagao, Aaron	Penn State		14-5	Yes
21.	Oakley, Ethan	Appalachian State		26-7	Yes
3.	Orine, Kai	NC State		15-2	Yes
13.	Phipps, Kurt	Bucknell		25-5	Yes
5.	Ragusin, Dylan	Michigan		24-2	Yes
11.	Romney, Zeth	Cal Poly		19-7	Yes
32.	Rooks, Cayden	Indiana		10-11	Yes
9.	Serrano, Dominick	Northern Colorado		26-4	Yes
4.	Shawver, Dylan	Rutgers		22-5	Yes
27.	Strickland, Gable	Lock Haven		32-12	Yes
15.	Teske, Brody	Iowa		13-5	Yes
14.	Van Dee, Jacob	Nebraska		22-8	Yes
20.	Wells, Tyler	Minnesota		12-6	Yes
23.	Yarbrough, Marlon	Virginia		15-7	Yes
22.	Zaccone, Domenic	Campbell		24-8	Yes
