Seed	Name	Team	Grade	Record	Scoring
29.	Anderson, Jha`Quan	Gardner-Webb		28-7	Yes
13.	Ayzerov, Aaron	Columbia		20-9	Yes
9.	Berge, Bennett	South Dakota State		19-5	Yes
33.	Brooker, Tomas	Appalachian State		19-13	Yes
12.	Bullock, Jaden	Michigan		18-10	Yes
19.	Conway, James	Franklin and Marshall		29-9	Yes
16.	Dugan, Nate	Princeton		23-7	Yes
30.	DuVall, Malachi	George Mason		18-10	Yes
32.	D`Alesio, Anthony	LIU		19-12	Yes
17.	Feldkamp, Will	Iowa State		12-9	Yes
10.	Fishback, Dylan	NC State		17-7	Yes
14.	Foca, Chris	Cornell		20-6	Yes
26.	Hale, Maximus	Pennsylvania		21-8	Yes
11.	Hawks, Colton	Missouri		16-6	Yes
15.	Heller, Reece	Pittsburgh		20-6	Yes
28.	Hopkins, Caleb	Campbell		22-9	Yes
22.	Kane, Gavin	North Carolina		19-9	Yes
1.	Keckeisen, Parker	Northern Iowa		26-0	Yes
25.	Key, David	Navy		18-12	Yes
24.	Liegel, Shane	Wisconsin		19-12	Yes
23.	Malczewski, Layne	Michigan State		14-8	Yes
4.	Munoz, Trey	Oregon State		19-3	Yes
31.	Negron, Tony	Arizona State		13-9	Yes
20.	Nolan, Jacob	Binghamton		23-7	Yes
27.	Pine, Cameron	Clarion		23-7	Yes
5.	Pinto, Lenny	Nebraska		22-4	Yes
3.	Plott, Dustin	Oklahoma State		27-3	Yes
18.	Rogotzke, Ryder	Ohio State		18-8	Yes
2.	Salazar, Isaiah	Minnesota		21-1	Yes
21.	Soldano, Brian	Rutgers		15-10	Yes
7.	Stewart Jr, Thomas	Virginia Tech		10-2	Yes
6.	Truax, Bernie	Penn State		14-4	Yes
8.	Wolf, Sam	Air Force		18-4	Yes
