Seed	Name	Team	Grade	Record	Scoring
26.	Abas, Jaden	Stanford		16-7	Yes
3.	Arrington, Jackson	NC State		18-3	Yes
18.	Bond, Cody	Appalachian State		24-6	Yes
32.	Boyd, Jeffrey	The Citadel		18-11	Yes
33.	Cetta, Michael	Rutgers		14-11	Yes
27.	Crook, Jack	Harvard		15-9	Yes
14.	D`Emilio, Dylan	Ohio State		24-11	Yes
9.	Fernandez, Ethan	Cornell		22-6	Yes
28.	Gioffre, Logan	Missouri		8-7	Yes
6.	Gomez, Austin	Michigan		9-2	Yes
16.	Griffin, Kelvin	Lehigh		26-10	Yes
4.	Henson, Caleb	Virginia Tech		25-2	Yes
7.	Kasak, Tyler	Penn State		17-4	Yes
11.	Kinner, Quinn	Rider		17-9	Yes
10.	Lamer, Chance	Cal Poly		17-5	Yes
1.	Lovett, Ridge	Nebraska		24-1	Yes
29.	Martin, Alek	South Dakota State		20-10	Yes
21.	McDougald, Willie	Oklahoma		17-9	Yes
12.	Miller, Ethen	Maryland		17-7	Yes
15.	Munson, Corbyn	Central Michigan		26-5	Yes
2.	Parco, Kyle	Arizona State		21-3	Yes
13.	Rathjen, Caleb	Iowa		16-5	Yes
23.	Roberts, Drew	Minnesota		19-8	Yes
17.	Rooks, Graham	Indiana		18-10	Yes
31.	Solomon, Finn	Pittsburgh		17-10	Yes
8.	Swiderski, Casey	Iowa State		20-3	Yes
30.	Swisher, Jude	Pennsylvania		23-7	Yes
24.	Tyus, Caleb	SIU Edwardsville		20-7	Yes
5.	Watters, Ty	West Virginia		25-4	Yes
20.	Williams, Jordan	Oklahoma State		14-7	Yes
25.	Williams, Matthew	Army West Point		26-8	Yes
22.	Willochell, Gabe	Wyoming		20-10	Yes
19.	Zargo, Joseph	Wisconsin		20-9	Yes
