Seed	Name	Team	Grade	Record	Scoring
23.	Augustine, Luca	Pittsburgh		14-6	Yes
26.	Baker, Benny	Cornell		14-12	Yes
32.	Baumann, Brody	Purdue		12-14	Yes
5.	Conigliaro, Philip	Harvard		24-3	Yes
20.	Conley, Brody	West Virginia		24-7	Yes
19.	Cramer, Alex	Central Michigan		22-7	Yes
2.	DeVos, Cade	South Dakota State		23-1	Yes
21.	Eischens, Tyler	North Carolina		13-7	Yes
29.	Faison, Alex	NC State		13-12	Yes
15.	Gaitan, MJ	Iowa State		19-7	Yes
4.	Griffith, Shane	Michigan		14-3	Yes
10.	Incontrera, Nick	Pennsylvania		24-5	Yes
8.	Kemp, Adam	Cal Poly		16-3	Yes
12.	Kennedy, Patrick	Iowa		15-5	Yes
1.	Lewis, Mekhi	Virginia Tech		15-0	Yes
17.	Maylor, Max	Wisconsin		18-7	Yes
13.	McCoy, Justin	Virginia		17-5	Yes
22.	Mocco, Peyton	Missouri		12-6	Yes
11.	Murphy, Austin	Campbell		22-6	Yes
18.	Pasiuk, Benjamin	Army West Point		20-6	Yes
3.	Ruth, Edmond	Illinois		22-2	Yes
14.	Sax, Gaven	North Dakota State		17-5	Yes
28.	Simma, Jared	Northern Iowa		15-9	Yes
24.	Sparks, Andrew	Minnesota		10-7	Yes
9.	Starocci, Carter	Penn State		12-2	Yes
30.	Takats, Myles	Bucknell		24-14	Yes
25.	Thompson, Brayden	Oklahoma State		12-9	Yes
16.	Turley, Jackson	Rutgers		15-6	Yes
33.	Valencia, Cael	Arizona State		11-13	Yes
27.	Wask, Danny	Navy		23-11	Yes
6.	Welsh, Rocco	Ohio State		22-4	Yes
31.	Wilson, Michael	Rider		21-11	Yes
7.	Wolak, Lennox	Columbia		15-5	Yes
