Seed	Name	Team	Grade	Record	Scoring
3.	Ayala, Drake	Iowa		23-4	Yes
10.	Barnett, Eric	Wisconsin		26-6	Yes
25.	Berginc, Ethan	Army West Point		23-9	Yes
7.	Camacho, Jakob	NC State		13-4	Yes
1.	Davis, Braeden	Penn State		20-2	Yes
18.	DeAugustino, Michael	Michigan		11-6	Yes
8.	Figueroa, Richard	Arizona State		12-5	Yes
11.	Flynn, Cooper	Virginia Tech		14-4	Yes
27.	Gallagher, Max	Pennsylvania		20-8	Yes
30.	Griffin, Elijah	California Baptist		19-11	Yes
23.	Jordan, Tanner	South Dakota State		24-9	Yes
32.	Joyce, Mike	Brown		8-7	Yes
21.	Kaylor, Brandon	Oregon State		15-8	Yes
31.	Klinsky, Tyler	Rider		20-12	Yes
33.	Lujan, Tristan	Michigan State		16-15	Yes
29.	McCrone, Brendan	Ohio State		19-11	Yes
9.	McKee, Patrick	Minnesota		15-6	Yes
12.	Noto, Anthony	Lock Haven		17-2	Yes
22.	Palmer, Brayden	Chattanooga		18-2	Yes
16.	Peterson, Dean	Rutgers		14-7	Yes
20.	Poulin, Stevo	Northern Colorado		19-4	Yes
14.	Provo, Nico	Stanford		18-6	Yes
4.	Ramos, Matt	Purdue		25-5	Yes
15.	Smith, Caleb	Nebraska		21-9	Yes
28.	Sotelo, Diego	Harvard		23-10	Yes
6.	Spratley, Troy	Oklahoma State		21-6	Yes
2.	Stanich, Luke	Lehigh		19-3	Yes
19.	Strickenberger, Jett	West Virginia		20-6	Yes
13.	Surtin, Noah	Missouri		15-5	Yes
24.	Terukina, Kysen	Iowa State		13-8	Yes
17.	Ungar, Brett	Cornell		17-7	Yes
5.	Volk, Jore	Wyoming		23-6	Yes
26.	West, Blake	Northern Illinois		27-6	Yes
