Seed	Name	Team	Grade	Record	Scoring
2.	Bastida, Yonger	Iowa State		24-0	Yes
20.	Bucknavich, Daniel	Cleveland State		23-4	Yes
26.	Catka, Hunter	Virginia Tech		13-6	Yes
22.	Cover, Matthew	Princeton		18-9	Yes
19.	Crosby, Dorian	Bucknell		24-9	Yes
10.	Davison, Lucas	Michigan		18-4	Yes
16.	Day, Cory	Binghamton		27-7	Yes
12.	Doucet, Konner	Oklahoma State		19-9	Yes
6.	Elam, Zach	Missouri		25-2	Yes
9.	Feldman, Nick	Ohio State		24-5	Yes
15.	Fernandes, Lewis	Cornell		21-10	Yes
7.	Ghadiali, Taye	Campbell		32-3	Yes
33.	Greer, Jordan	Ohio		14-8	Yes
17.	Griess, Grady	Navy		24-10	Yes
11.	Heindselman, Josh	Oklahoma		22-6	Yes
3.	Hendrickson, Wyatt	Air Force		22-1	Yes
27.	Hill, Josiah	Little Rock		23-9	Yes
25.	Hill, Bradley	Iowa		20-7	Yes
29.	Hutmacher, Nash	Nebraska		7-6	Yes
1.	Kerkvliet, Greg	Penn State		15-0	Yes
24.	Kluever, Keaton	Hofstra		15-5	Yes
14.	McDermott, Boone	Oregon State		18-9	Yes
30.	Nevills, Seth	Maryland		15-9	Yes
21.	Pitzer, Dayton	Pittsburgh		11-5	Yes
4.	Schultz, Cohlton	Arizona State		9-1	Yes
13.	Slavikouski, Yaraslau	Rutgers		17-6	Yes
23.	Stoddard, Lucas	Army West Point		23-14	Yes
18.	Szuba, David	Rider		23-8	Yes
31.	Tabor, Bennett	Minnesota		20-7	Yes
5.	Taylor, Nathan	Lehigh		23-3	Yes
28.	Tinker, Trevor	Cal Poly		13-5	Yes
8.	Trephan, Owen	NC State		17-5	Yes
32.	Willham, Nick	Indiana		12-10	Yes
