Seed	Name	Team	Grade	Record	Scoring
10.	Allred, Silas	Nebraska		24-7	Yes
33.	Bates, Evan	Northwestern		12-13	Yes
4.	Beard, Michael	Lehigh		26-1	Yes
20.	Bockman, Evan	Utah Valley		18-7	Yes
1.	Brooks, Aaron	Penn State		17-0	Yes
8.	Buchanan, Stephen	Oklahoma		24-2	Yes
5.	Cardenas, Jacob	Cornell		22-6	Yes
32.	Crawford, John	Franklin and Marshall		22-12	Yes
6.	Deprez, Lou	Binghamton		23-2	Yes
12.	Elam, Rocky	Missouri		11-3	Yes
23.	Geog, Luke	Ohio State		15-8	Yes
7.	Glazier, Zach	Iowa		24-2	Yes
2.	Hidlay, Trent	NC State		24-0	Yes
13.	Hopkins, Levi	Campbell		27-6	Yes
22.	Joles, Garrett	Minnesota		20-8	Yes
31.	Kinsey, Krystian	Virginia		10-8	Yes
9.	Little, Stephen	Little Rock		21-2	Yes
30.	Mitchell, Sam	Buffalo		23-6	Yes
17.	Novak, Joseph	Wyoming		22-12	Yes
14.	Poznanski, John	Rutgers		15-4	Yes
29.	Rademacher, Justin	Oregon State		17-9	Yes
15.	Shaw, Max	North Carolina		19-5	Yes
3.	Sloan, Tanner	South Dakota State		23-1	Yes
26.	Smith, Andy	Virginia Tech		16-9	Yes
11.	Smith, Jaxon	Maryland		17-5	Yes
25.	Smith, Benjamin	Cleveland State		23-5	Yes
18.	Stemmet, Nikolas	Stanford		28-8	Yes
16.	Stout, Luke	Princeton		20-6	Yes
21.	Stout, Mac	Pittsburgh		21-6	Yes
27.	Surber, Luke	Oklahoma State		12-7	Yes
24.	Urbas, Cole	Pennsylvania		17-9	Yes
19.	Voelker, Wyatt	Northern Iowa		17-6	Yes
28.	Wehmeyer, Jack	Columbia		22-11	Yes
