Seed	Name	Team	Grade	Record	Scoring
13.	Bannister, Alfred	Maryland	10	22-5	Yes
17.	Barber, Nick	Eastern Michigan	12	16-12	Yes
24.	Barone, Eric	Illinois	10	10-11	Yes
14.	Bleise, Steve	Northern Illinois	10	26-7	Yes
6.	Chishko, Solomon	Virginia Tech	11	21-3	Yes
26.	Cimato, Matthew	Drexel	12	26-9	Yes
2.	Collica, Anthony	Oklahoma State	12	20-2	Yes
21.	Crone, Andrew	Wisconsin	11	26-11	Yes
22.	Delgado, Joey	Oregon State	12	18-10	Yes
10.	Gardner, Laike	Lehigh	12	21-8	Yes
23.	Hall, Zac	Michigan	10	17-10	Yes
27.	Hammond, Coleman	CSU Bakersfield	11	18-6	Yes
19.	Hayes, Michael	Old Dominion	12	18-13	Yes
29.	Heilmann, Troy	North Carolina	11	14-13	Yes
11.	Jeffries, Davion	Oklahoma	10	19-13	Yes
4.	Jordan, Micah	Ohio State	10	28-3	Yes
30.	Kargbo, Sahid	George Mason	12	28-3	Yes
25.	Kocer, Alex	South Dakota State	12	27-8	Yes
18.	Krivus, Samuel	Virginia	10	23-12	Yes
20.	Ladnier, Hunter	Harvard	9	19-12	Yes
16.	Laster, Jordan	Princeton	12	21-7	Yes
8.	Lugo, Patricio	Edinboro	10	30-7	Yes
32.	Maruca, Joshua	Arizona State	10	21-8	Yes
3.	Mayes, Lavion	Missouri	12	19-2	Yes
31.	Mendenhall, Cole	Wyoming	12	29-8	Yes
9.	Oliver, Justin	Central Michigan	10	29-7	Yes
1.	Retherford, Zain	Penn State	11	23-0	Yes
5.	Sorensen, Brandon	Iowa	11	26-4	Yes
12.	Speno, Sam	NC State	9	22-8	Yes
15.	Theobold, Kenny	Rutgers	12	22-9	Yes
7.	Thomsen, Max	Northern Iowa	10	27-5	Yes
28.	Zovistoski, Matthew	Appalachian State	10	26-9	Yes
