Seed	Name	Team	Grade	Record	Scoring
12.	Alber, Josh	Northern Iowa	11	23-5	Yes
3.	Brock, Kaid	Oklahoma State	10	25-2	Yes
4.	Clark, Cory	Iowa	12	15-3	Yes
28.	Debien, Chris	Chattanooga	10	17-9	Yes
30.	Delvecchio, Scott	Rutgers	11	20-13	Yes
16.	Devoy, Kevin	Drexel	12	20-7	Yes
20.	D`Arcy, Pat	Princeton	10	16-14	Yes
21.	Eicher, Austin	Michigan State	10	21-16	Yes
10.	Erneste, John	Missouri	10	23-6	Yes
22.	Fehlman, DJ	Lock Haven	10	29-9	Yes
6.	Forys, Dom	Pittsburgh	11	19-1	Yes
2.	Gross, Seth	South Dakota State	10	30-1	Yes
13.	Hall, Earl	Iowa State	12	22-10	Yes
27.	Keener, Corey	Central Michigan	12	19-13	Yes
11.	Lantry, Bryan	Buffalo	10	20-5	Yes
25.	Madrigal, Alex	Old Dominion	9	12-12	Yes
14.	McKee, Mitch	Minnesota	9	19-17	Yes
5.	Micic, Stevan	Michigan	9	24-5	Yes
19.	Montoya, Rico	Northern Colorado	10	18-12	Yes
7.	Montoya, Eric	Nebraska		26-4	Yes
15.	Morris, Jamal	NC State	10	20-9	Yes
32.	Myers, Korbin	Edinboro	10	29-10	Yes
23.	Ott, Jeffrey	Harvard	12	14-14	Yes
18.	Palmer, Joseph	Oregon State	12	26-5	Yes
9.	Parker, Scotty	Lehigh	10	16-2	Yes
31.	Rappo, Billy	Maryland	12	16-13	Yes
8.	Richards, Zane	Illinois	12	25-4	Yes
29.	Schram, Connor	Stanford	12	14-4	Yes
24.	Smith, Colby	Appalachian State	9	26-9	Yes
17.	Sykora, Cam	North Dakota State University	9	25-6	Yes
1.	Tomasello, Nathan	Ohio State	11	19-0	Yes
26.	Tutolo, Anthony	Kent State	11	19-8	Yes
