Seed	Name	Team	Grade	Record	Scoring
23.	Atkinson, Andrew	Virginia	11	20-10	Yes
4.	Berger, Tyler	Nebraska	11	32-4	Yes
21.	Bethea, May	Pennsylvania	11	24-9	Yes
32.	Bullard, Thomas	NC State	9	21-10	Yes
15.	Colgan, Archie	Wyoming	11	34-8	Yes
31.	Danishek, Jake	Indiana	11	19-13	Yes
18.	Delande, Chase	Edinboro		21-16	Yes
22.	D`Angelo, Mike	Princeton	10	16-9	Yes
24.	Faust, Jake	Duke	12	9-7	Yes
27.	Fox, Paul	Stanford	11	25-13	Yes
12.	Glass, Clark	Oklahoma	12	23-6	Yes
28.	Griffin, Alex	Purdue	12	24-13	Yes
10.	Heffernan, Colin	Central Michigan	11	29-7	Yes
2.	Kemerer, Michael	Iowa	9	27-2	Yes
20.	Langenderfer, Kyle	Illinois	12	23-8	Yes
3.	Lavallee, Joey	Missouri	11	25-1	Yes
16.	Lopez, Victor	Bucknell	12	27-7	Yes
14.	Mastriani, Sal	Virginia Tech	12	16-6	Yes
29.	Mosley, Ryan	Gardner-Webb	11	26-10	Yes
1.	Nolf, Jason	Penn State	10	22-0	Yes
7.	Palacio, Dylan	Cornell	12	8-1	Yes
11.	Parsons, Russell	Army	12	26-4	Yes
26.	Rahmani, Taleb	Pittsburgh	10	23-6	Yes
6.	Ream, Clayton	North Dakota State University	11	24-4	Yes
17.	Ruschell, Timothy	Wisconsin	12	15-9	Yes
9.	Shields, Joshua	Arizona State	10	32-7	Yes
8.	Short, Jake	Minnesota	11	23-12	Yes
25.	Shorts, Colt	Cal Poly	11	20-12	Yes
5.	Smith, Joseph	Oklahoma State	10	11-4	Yes
19.	Sparkman, Casey	Kent State	10	25-12	Yes
13.	Van Brill, John	Rutgers	10	23-9	Yes
30.	Walker, Aaron	The Citadel	12	28-10	Yes
