Seed	Name	Team	Grade	Record	Scoring
10.	Butler, Nathan	Stanford	11	23-9	Yes
24.	Crawford, Cody	Oregon State	11	22-7	Yes
9.	Dejournette, Denzel	Appalachian State	12	26-6	Yes
26.	Dennison, Dustin	Utah Valley University	11	22-8	Yes
21.	Gilliland-Daniel, Cory	North Carolina	10	19-14	Yes
23.	Goodhart, Joseph	Drexel	11	24-8	Yes
32.	Gunning, Jake	Buffalo	10	20-5	Yes
14.	Haines, Thomas	Lock Haven	9	31-5	Yes
7.	Hall, Tanner	Arizona State	10	29-5	Yes
27.	Heino, Jere	Campbell	10	22-7	Yes
19.	Hemida, Youssif	Maryland	10	20-11	Yes
29.	Hutchison, Gage	Eastern Michigan	11	25-13	Yes
22.	Jennings, Conan	Northwestern	10	17-14	Yes
13.	Jensen, Collin	Nebraska	12	28-11	Yes
11.	Johnson, Jared	Chattanooga		26-7	Yes
4.	Kasper, Jacob	Duke	11	27-3	Yes
20.	Kosoy, Mike	NC State	12	21-10	Yes
8.	Kroells, Michael	Minnesota	12	27-9	Yes
18.	Larson, Ross	Oklahoma	12	21-8	Yes
2.	Medbery, Connor	Wisconsin	12	25-1	Yes
12.	Miller, William	Edinboro	11	31-9	Yes
25.	Myers, Austin	Missouri	9	15-13	Yes
5.	Nevills, Nick	Penn State	10	20-3	Yes
31.	O`Donnell, Ray	Princeton	12	17-8	Yes
16.	Ryan, Garrett	Columbia	11	26-7	Yes
6.	Schafer, Austin	Oklahoma State	12	22-1	Yes
17.	Smerchek, Newton	Central Michigan	11	23-11	Yes
1.	Snyder, Kyle	Ohio State	11	12-0	Yes
15.	Solomon, Ryan	Pittsburgh	12	17-4	Yes
30.	Tynan, Benjamin	North Dakota State University	12	18-6	Yes
28.	Vollaro, Doug	Lehigh	12	18-7	Yes
3.	Walz, Ty	Virginia Tech	12	22-2	Yes
