Seed	Name	Team	Grade	Record	Scoring
10.	Beazley, Kevin	Old Dominion	11	22-5	Yes
21.	Berkowitz, Jacob	Northwestern	12	22-9	Yes
28.	Brunner, Christian	Purdue	9	23-15	Yes
17.	Cervantes, Steban	Navy	11	22-11	Yes
24.	Chaid, Daniel	North Carolina	11	17-13	Yes
31.	Correnti, Matt	Rutgers	9	16-13	Yes
1.	Cox, J`den	Missouri	12	23-0	Yes
14.	Griego, Corey	Oregon State	10	24-8	Yes
26.	Harner, Brett	Princeton	12	14-8	Yes
27.	Harrington, Marcus	Iowa State	10	9-11	Yes
4.	Haught, Jared	Virginia Tech	11	24-2	Yes
25.	Holschlag, Jacob	Northern Iowa	10	20-8	Yes
22.	Honis, Benjamin	Cornell	10	27-13	Yes
18.	Johnson, Brad	Oklahoma	12	16-12	Yes
32.	Kasunic, Jeric	American	11	24-10	Yes
19.	Marchok, Josh	Stanford	12	15-7	Yes
12.	Mattiace, Frank	Pennsylvania	11	26-9	Yes
5.	McCutcheon, Matt	Penn State	11	18-4	Yes
30.	McDonald, Malik	NC State	10	20-9	Yes
3.	Moore, Kollin	Ohio State	9	28-3	Yes
2.	Pfarr, Brett	Minnesota	12	27-2	Yes
15.	Robertson, Ricky	Wisconsin	11	26-14	Yes
9.	Rotert, Nate	South Dakota State	11	21-7	Yes
11.	Scott, Shawn	Northern Illinois	12	24-7	Yes
16.	Severn, Austin	Central Michigan	12	23-10	Yes
13.	Sleigh, Tom	Bucknell	11	31-5	Yes
7.	Studebaker, Aaron	Nebraska	12	27-8	Yes
23.	Tindle, Jake	SIUE	12	19-10	Yes
6.	Weigel, Preston	Oklahoma State	10	18-5	Yes
20.	Wilcke, Cash	Iowa		16-11	Yes
29.	Williams, Matt	CSU Bakersfield	11	17-9	Yes
8.	Wolfe, Ryan	Rider	12	20-4	Yes
