Seed	Name	Team	Grade	Record	Scoring
5.	Ashnault, Anthony	Rutgers	11	27-3	Yes
19.	Box, Timmy	Northern Colorado		26-12	Yes
27.	Carton, Christopher	Iowa	12	24-8	Yes
30.	Caruana, Dylan	Binghamton University	12	18-15	Yes
11.	Cruz, Randy	Lehigh	12	21-7	Yes
6.	DiCamillo, George	Virginia	12	20-4	Yes
29.	Diehl, Ryan	Maryland	10	9-5	Yes
8.	Eierman, Jaydin	Missouri	9	24-5	Yes
25.	Everett, Logan	Army	12	21-14	Yes
24.	Forrider, Noah	Ohio	11	26-6	Yes
13.	Gasca III, Javier	Michigan State	12	27-8	Yes
20.	Gulibon, Jimmy	Penn State	12	14-10	Yes
26.	Hathaway, Johnathan	Oregon State	11	17-11	Yes
1.	Heil, Dean	Oklahoma State	11	27-0	Yes
2.	Jack, Kevin	NC State	11	29-1	Yes
4.	Kolodzik, Matthew	Princeton	9	26-2	Yes
23.	Longo, Mike	Oklahoma	11	19-8	Yes
22.	Martin, Cole	Wisconsin	9	21-15	Yes
9.	McCrystal, Colton	Nebraska	12	31-9	Yes
3.	McKenna, Joey	Stanford	10	28-1	Yes
10.	Meredith, Bryce	Wyoming	11	28-6	Yes
31.	Perry, Ronald	Lock Haven	11	28-6	Yes
12.	Pletcher, Luke	Ohio State	9	23-7	Yes
16.	Prince, Jared	Navy	9	25-7	Yes
21.	Profaci, Salvator	Michigan	9	13-15	Yes
18.	Rohlfing, Russell	CSU Bakersfield	9	23-11	Yes
17.	Schilling, Colton	Cal Poly	10	13-9	Yes
28.	Smith, Mason	Central Michigan	9	23-12	Yes
15.	Smith, Tyler	Bucknell	11	28-8	Yes
14.	Thorn, Thomas	Minnesota	10	17-7	Yes
7.	Ward, Joseph	North Carolina	12	26-5	Yes
32.	Zacherl, Brock	Clarion	10	21-3	Yes
