Seed	Name	Team	Grade	Record	Scoring
4.	Boyd, Nolan	Oklahoma State	12	21-4	Yes
3.	Brooks, Sammy	Iowa	12	24-2	Yes
13.	Carr, Bryce	Chattanooga	12	25-4	Yes
32.	Coleman, Michael	Navy	11	21-6	Yes
21.	Corba, Nick	Cleveland State	12	23-8	Yes
1.	Dean, Gabe	Cornell	12	30-0	Yes
8.	Dechow, Jack	Old Dominion	12	28-3	Yes
24.	DeCiantis, Alexander	Drexel	11	21-12	Yes
7.	Dudley, TJ	Nebraska	12	27-4	Yes
16.	Ellingwood, Jordan	Central Michigan	11	26-8	Yes
26.	Fagg-Daves, Michale	Rider	10	19-13	Yes
12.	Foster, Drew	Northern Iowa	11	22-4	Yes
25.	Gabel, Dylan	Northern Colorado	10	24-9	Yes
22.	Gamble, Hunter	Gardner-Webb	11	24-7	Yes
14.	Geer, Dakota	Edinboro	9	29-8	Yes
30.	Gravina, Nicholas	Rutgers	11	20-9	Yes
18.	Grimes, Jason	American	12	19-18	Yes
23.	Heino, Ville	Campbell	9	26-7	Yes
28.	Heyob, Joe	Pennsylvania	11	22-10	Yes
27.	Hoffman, Garrett	Bucknell	9	18-14	Yes
20.	Imonode, Samson	Army	12	24-10	Yes
9.	Jackson, Nathan	Indiana	11	29-3	Yes
17.	LaFragola, Christian	Brown	10	23-13	Yes
10.	Macchiavello, Michael	NC State	12	24-6	Yes
6.	Martin, Myles	Ohio State	10	26-7	Yes
19.	Nevills, Zach	Stanford	12	6-9	Yes
2.	Nickal, Bo	Penn State	10	21-1	Yes
11.	Parker, Emery	Illinois	10	28-8	Yes
29.	Ritter, Hunter	Wisconsin	9	19-14	Yes
15.	Schneider, Steven	Binghamton University	11	32-8	Yes
31.	Sliga, Mitch	Northwestern	11	17-11	Yes
5.	Zavatsky, Zachary	Virginia Tech	11	24-2	Yes
