Seed	Name	Team	Grade	Record	Scoring
9.	Amine, Myles	Michigan	9	26-5	Yes
17.	Bass, Connor	Duke	12	21-11	Yes
21.	Bernstein, Jadaen	Navy	11	28-8	Yes
16.	Brucki, Christian	Central Michigan	11	29-8	Yes
10.	Brunson, Zac	Illinois	12	28-8	Yes
20.	Christensen, Ryan	Wisconsin	10	20-17	Yes
7.	Crutchmer, Kyle	Oklahoma State	12	18-5	Yes
22.	Dewey, Austin	Boise State	12	24-13	Yes
15.	Engelkes, Trace	Northern Illinois	12	19-4	Yes
4.	Epperly, Zach	Virginia Tech	11	19-1	Yes
19.	Galli, Peter	Stanford	12	26-6	Yes
5.	Hall, Mark	Penn State	9	26-3	Yes
30.	Johnson, Josef	Harvard	11	29-11	Yes
3.	Jordan, Bo	Ohio State	11	14-1	Yes
12.	Kent, Casey	Pennsylvania	12	22-6	Yes
28.	Kocer, David	South Dakota State	11	23-8	Yes
13.	Lujan, Taylor	Northern Iowa	10	27-4	Yes
11.	Meyer, Alex	Iowa	12	24-7	Yes
23.	Morrissey, Jacob	Purdue	11	16-11	Yes
27.	Pagano, Jordan	Rutgers	10	26-9	Yes
32.	Pfarr, Christopher	Minnesota	11	18-13	Yes
6.	Preisch, Ryan	Lehigh	10	22-4	Yes
8.	Ramos, Ethan	North Carolina	11	19-6	Yes
2.	Realbuto, Brian	Cornell	12	23-1	Yes
29.	Reenan, Nick	NC State	9	20-11	Yes
26.	Residori, Jake	SIUE	12	19-11	Yes
18.	Schleifer, Jonathan	Princeton	11	17-8	Yes
24.	Schoffstall, Ty	Edinboro	12	20-9	Yes
31.	Skatzka, Devin	Indiana	10	24-11	Yes
25.	Trott, Austin	Gardner-Webb	11	24-6	Yes
1.	Valencia, Zahid	Arizona State	10	33-0	Yes
14.	Weatherspoon, Lelund	Iowa State	12	22-11	Yes
