Seed	Name	Team	Grade	Record	Scoring
7.	Ballweg, Mark	Iowa		21-5	Yes
29.	Cimato, Frank	Drexel		30-9	Yes
10.	Cobb, Charles	Pennsylvania		23-7	Yes
8.	Dardanes, Nick	Minnesota		25-7	Yes
9.	Durso, Richard	Frank. & Marsh.		37-3	Yes
16.	Feikert, Julian	Oklahoma St.		21-17	Yes
24.	Ford, McCade	Wyoming		14-12	Yes
25.	Goettl, Luke	Iowa St.		15-11	Yes
31.	Goodwin, Frank	Maryland		7-9	Yes
28.	Greco, Pasquale	Northwestern		14-11	Yes
33.	Hanafee, Connor	Army		21-13	Yes
5.	Henderson, Evan	North Carolina		34-6	Yes
30.	Hucke, Nicholas	Missouri		13-13	Yes
17.	Keith, Steven	Harvard		27-8	Yes
6.	Khishignyam, Undrakhbayar	The Citadel		38-4	Yes
23.	Kiley, Ridge	Nebraska		14-11	Yes
15.	Lazor, Joey	Northern Iowa		32-7	Yes
3.	Mangrum, Michael	Oregon St.		36-4	Yes
2.	Maple, Kendric	Oklahoma		25-0	Yes
12.	Mecate, Chris	Old Dominion		34-7	Yes
19.	Melde, Trevor	Rutgers		20-12	Yes
26.	Neff, Daniel	Lock Haven		24-9	Yes
22.	Neibert, Zach	Virginia Tech		16-9	Yes
21.	Nelsen, Brandon	Purdue		25-12	Yes
11.	Nevinger, Michael	Cornell		36-10	Yes
14.	Pavlou, Dean	Chattanooga		25-12	Yes
18.	Pearsall, Bryan	Penn State		23-9	Yes
13.	Pennesi, Nathan	West Virginia		21-9	Yes
4.	Port, Mitchell	Edinboro		30-3	Yes
27.	Salupo, Anthony	Lehigh		13-9	Yes
32.	Spisak, Joseph	Virginia		21-5	Yes
1.	Stieber, Hunter	Ohio St.		31-0	Yes
20.	Vaith, Luke	Hofstra		21-12	Yes
