Seed	Name	Team	Grade	Record	Scoring
30.	Apland, Benjamin	Michigan		18-12	Yes
1.	Bradley, Dominque	Missouri		35-1	Yes
12.	Chalfant, Adam	Indiana		26-9	Yes
24.	Cooper, Levi	Arizona St.		22-10	Yes
15.	Delaney, Odie	The Citadel		37-7	Yes
16.	Fager, Adam	Utah Valley		18-10	Yes
11.	Felix, J.T	Boise State		26-10	Yes
3.	Gelogaev, Alan	Oklahoma St.		24-3	Yes
33.	Gibson, Matthew	Iowa St.		17-9	Yes
22.	Grant, Justin	Bloomsburg		24-4	Yes
31.	Graziano, Steven	Pennsylvania		19-13	Yes
4.	Hanke, Chad	Oregon St.		32-3	Yes
17.	Herrin, Blake	American		26-8	Yes
29.	Innis, Kevin	Boston U.		21-6	Yes
20.	James, Ernest	Edinboro		22-12	Yes
19.	Johnson, Jeremy	Ohio		32-9	Yes
21.	Kettler, Jacob	George Mason		22-17	Yes
18.	Knutson, Evan	North Dakota St.		16-13	Yes
32.	Lane, Stryker	Cornell		20-12	Yes
14.	Lawson, James	Penn State		21-7	Yes
26.	Marone, David	Virginia Tech		16-9	Yes
8.	McClure, Mike	Michigan St.		31-5	Yes
5.	McMullan, Michael	Northwestern		18-3	Yes
7.	Medbery, Connor	Wisconsin		24-6	Yes
23.	Miller, Daniel	Navy		21-10	Yes
2.	Nelson, Anthony	Minnesota		28-1	Yes
28.	Scherer, Dan	Stanford		18-12	Yes
25.	Shaw, Riley	Cleveland State		19-14	Yes
13.	Smith, William	Rutgers		26-9	Yes
27.	Stolfi, Joe	Bucknell		23-14	Yes
6.	Telford, Bobby	Iowa		20-6	Yes
9.	Thomusseit, Zac	Pittsburgh		23-2	Yes
10.	Trice, Jarod	Central Michigan		22-4	Yes
