Seed	Name	Team	Grade	Record	Scoring
5.	Asper, Josh	Maryland		19-1	Yes
7.	Blanton, Jordan	Illinois		22-10	Yes
15.	Bonaccorsi, Nick	Pittsburgh		17-7	Yes
2.	Brown, Mathew	Penn State		25-4	Yes
9.	Brown, Nathaniel	Lehigh		20-5	Yes
21.	Cannon, John-Martin	Buffalo		11-8	Yes
18.	Curling, Billy	Old Dominion		20-10	Yes
3.	Evans, Michael	Iowa		19-4	Yes
16.	Fausey, Jonathan	Virginia		29-8	Yes
26.	Gabel, Austin	Virginia Tech		19-11	Yes
24.	Gamble, Hunter	Gardner-Webb		22-12	Yes
27.	Hammond, Bryce	CSU Bakersfield		32-8	Yes
8.	Heflin, Nick	Ohio St.		15-5	Yes
33.	Helbig, Lee	Wyoming		22-10	Yes
14.	Joseph, Phillip	Eastern Mich.		17-13	Yes
30.	Kelliher, Craig	Central Michigan		21-11	Yes
4.	Kokesh, Robert	Nebraska		33-3	Yes
29.	Korb, Ian	Pennsylvania		23-12	Yes
12.	Miller, Mathew	Navy		23-5	Yes
22.	Mougin, Matt	Northern Ill.		22-15	Yes
19.	Munster, Leroy	Northwestern		24-7	Yes
1.	Perry, Chris	Oklahoma St.		30-2	Yes
31.	Porter, Todd	Missouri		31-10	Yes
11.	Stauffer, Blake	Arizona St.		22-3	Yes
6.	Storley, Logan	Minnesota		24-3	Yes
20.	Walters, Cody	Ohio		35-2	Yes
23.	Weatherman, Tanner	Iowa St.		18-7	Yes
32.	Weishoff, Cody	Oregon St.		16-8	Yes
13.	Welch, Chad	Purdue		21-13	Yes
17.	West, Stephen	Columbia		23-7	Yes
28.	Wheeler, Sam	Kent St.		25-12	Yes
10.	Yates, Daniel	Michigan		21-9	Yes
25.	Zannetti, Greg	Rutgers		27-8	Yes
