Seed	Name	Team	Grade	Record	Scoring
22.	Atwood, Braden	Purdue		25-10	Yes
19.	Barnes, Bryce	Army		25-18	Yes
33.	Bennett, Jace	Cornell		30-14	Yes
23.	Boley, Christian	Maryland		24-6	Yes
30.	Borlie, Derrick	Virginia Tech		18-11	Yes
24.	Brown, Nikolas	Chattanooga		28-3	Yes
8.	Burak, Micah	Pennsylvania		16-2	Yes
32.	Burak, Nathan	Iowa		17-15	Yes
25.	Campolattano, Andrew	Ohio St.		17-11	Yes
16.	Fox, James	Harvard		13-4	Yes
6.	Gadson, Kyven	Iowa St.		23-2	Yes
27.	Gonzalez, Mario	Illinois		14-7	Yes
26.	Hartmann, Conner	Duke		20-9	Yes
12.	Haynes, Brent	Missouri		31-8	Yes
21.	Hein, Jackson	Wisconsin		20-10	Yes
4.	Hernandez, Alfonso	Wyoming		30-1	Yes
28.	Huntley, Maxwell	Michigan		17-14	Yes
1.	Kilgore, Dustin	Kent St.		39-0	Yes
29.	Kolb, Caleb	Nebraska		18-16	Yes
31.	Mcneil, Donald	Rider		21-15	Yes
5.	Meeks, Taylor	Oregon St.		31-5	Yes
9.	Meredith, Jake	Arizona St.		26-7	Yes
18.	Palik, Brandon	Drexel		24-4	Yes
14.	Perry, Richard	Bloomsburg		28-4	Yes
20.	Polizzi, Alex	Northwestern		16-14	Yes
11.	Rosholt, Blake	Oklahoma St.		13-7	Yes
15.	Salopek, Michael	Virginia		13-5	Yes
7.	Schiedel, Nathan	Binghamton		26-2	Yes
10.	Schiller, Scott	Minnesota		23-4	Yes
17.	Wellington, Phillip	Ohio		23-14	Yes
13.	Whitenburg, Nick	Eastern Mich.		17-7	Yes
3.	Wilps, Matthew	Pittsburgh		19-2	Yes
2.	Wright, Quentin	Penn State		27-0	Yes
