Seed	Name	Team	Grade	Record	Scoring
23.	Bonanno, Steve	Hofstra		17-10	Yes
16.	Boyle, Sean	Michigan		22-10	Yes
12.	Cox, Tyler	Wyoming		31-8	Yes
13.	Cullinan, Christian	Central Michigan		21-7	Yes
20.	DeAngelo, Joe	North Carolina St.		7-7	Yes
2.	Delgado, Jesse	Illinois		21-3	Yes
25.	Deutsch, Rob	Old Dominion		26-9	Yes
15.	Duca, Joseph	Indiana		15-16	Yes
5.	Garnett, Jarrod	Virginia Tech		27-2	Yes
6.	Garrett, Nahshon	Cornell		38-4	Yes
24.	Iwamura, Tyler	CSU Bakersfield		23-8	Yes
19.	Klimara, Edward	Oklahoma St.		24-14	Yes
7.	Kraisser, Nathan	North Carolina		31-5	Yes
10.	Martinez, Josh	Air Force		27-9	Yes
3.	McDonough, Matt	Iowa		20-3	Yes
4.	Megaludis, Nicholas	Penn State		24-3	Yes
14.	Mitcheff, Steve	Kent St.		28-11	Yes
27.	Montoya, Eric	Campbell		33-15	Yes
28.	Parisi, Dominic	Appalachian S.		28-11	Yes
29.	Powell, Kevon	Ohio		8-13	Yes
33.	Rappo, Mark	Pennsylvania		22-5	Yes
31.	Rauser, Jade	Utah Valley		20-8	Yes
22.	Silver, Evan	Stanford		25-13	Yes
8.	Snyder, Matthew	Virginia		20-7	Yes
17.	Soria, Max	Buffalo		26-13	Yes
21.	Soto, Nick	Chattanooga		27-6	Yes
9.	Sprenkle, Trent	North Dakota St.		28-4	Yes
26.	Terao, David	American		28-12	Yes
32.	Thorn, David	Minnesota		13-10	Yes
11.	Triggas, Nikko	Ohio St.		21-12	Yes
1.	Waters, Alan	Missouri		29-0	Yes
18.	Watterson, William	Brown		20-16	Yes
30.	Willeford, Ben	Cleveland State		19-14	Yes
