Seed	Name	Team	Grade	Record	Scoring
8.	Alton, Dylan	Penn State		24-6	Yes
13.	Barnhisel, Bobby	Navy		31-6	Yes
20.	Bonin, David	Northern Iowa		26-7	Yes
29.	Bradley, Kyle	Missouri		26-13	Yes
22.	Chino, Spartak	Ohio		20-13	Yes
28.	Churchard, Tommy	Purdue		19-15	Yes
24.	Cibula, Zac	Rider		23-10	Yes
23.	Demas, Josh	Ohio St.		17-10	Yes
6.	Dieringer, Alex	Oklahoma St.		30-2	Yes
7.	Dong, Jesse	Virginia Tech		23-3	Yes
5.	Fleming, James	Clarion		28-2	Yes
31.	Frisch, Matthew	The Citadel		29-12	Yes
4.	Green, James	Nebraska		20-4	Yes
9.	Hickman, Frank	Bloomsburg		27-4	Yes
14.	Ivanov, Georgi	Boise State		22-5	Yes
18.	Kreimier, Joshua	Air Force		27-4	Yes
15.	Lester, Matt	Oklahoma		16-8	Yes
17.	McCulley, Andy	Wyoming		28-8	Yes
12.	Moore, Jedd	Virginia		29-6	Yes
3.	Napoli, Joseph	Lehigh		18-2	Yes
33.	O`Hara, Jake	Columbia		18-5	Yes
21.	Pack, Cody	South Dakota State		15-14	Yes
10.	Pena, Roger	Oregon St.		32-5	Yes
11.	Peppelman, Walter	Harvard		17-2	Yes
26.	Smith, Luke	Central Michigan		22-10	Yes
2.	St. John, Derek	Iowa		26-2	Yes
32.	Taffur, Nestor	Boston U.		33-5	Yes
25.	Tasser, Donnie	Pittsburgh		26-13	Yes
30.	Walsh, Taylor	Indiana		29-10	Yes
27.	Watts, Ryan	Michigan St.		21-12	Yes
1.	Welch, Jason	Northwestern		30-1	Yes
16.	Winston, Scott	Rutgers		24-9	Yes
19.	Zilverberg, Daniel	Minnesota		16-12	Yes
