Seed	Name	Team	Grade	Record	Scoring
11.	Alton, Andrew	Penn State		26-4	Yes
14.	Bedelyon, Tyler	Clarion		20-14	Yes
19.	Borja, Raymond	Navy		22-7	Yes
8.	Brascetta, Nick	Virginia Tech		27-4	Yes
2.	Chamberlain, Jason	Boise State		26-1	Yes
20.	Corby, Donnie	Central Michigan		22-11	Yes
31.	Ervin, Caleb	Illinois		22-12	Yes
24.	Garbinsky, Ronnie	Pittsburgh		17-10	Yes
12.	Grajales, Eric	Michigan		22-6	Yes
32.	Habat, David	Edinboro		27-7	Yes
22.	Houdashelt, Drake	Missouri		28-9	Yes
28.	Hudson, Alex	Chattanooga		14-6	Yes
18.	Lester, Nick	Oklahoma		16-10	Yes
10.	Lopouchanski, Ivan	Purdue		27-2	Yes
21.	Mayfield, Max	Iowa St.		15-13	Yes
6.	Ness, Dylan	Minnesota		14-4	Yes
1.	Oliver, Jordan	Oklahoma St.		33-0	Yes
13.	Osterman, Dan	Michigan St.		20-12	Yes
33.	Paddock, Ian	Ohio St.		14-7	Yes
25.	Richardson, Brandon	Wyoming		12-19	Yes
29.	Richardson, Alexander	Old Dominion		27-12	Yes
23.	Roosa, Josh	Bloomsburg		22-5	Yes
26.	Roulo, Blake	Buffalo		24-13	Yes
7.	Sakaguchi, Scott	Oregon St.		24-6	Yes
5.	Santos, Steve	Columbia		26-1	Yes
9.	Sueflohn, Jake	Nebraska		22-5	Yes
30.	Tao, Kevin	American	11	24-13	Yes
17.	Valenti, Derek	Virginia		17-8	Yes
16.	Villalonga, Christopher	Cornell		23-10	Yes
3.	Vinson, Donald	Binghamton		29-1	Yes
4.	VonOhlen, Cole	Air Force		25-2	Yes
15.	Wilson, Josh	Utah Valley		21-8	Yes
27.	Young, Daniel	Army		16-9	Yes
