Seed	Name	Team	Grade	Record	Scoring
25.	Baumbach, Bret	Stanford		22-10	Yes
4.	Caldwell, Tyler	Oklahoma St.		29-4	Yes
13.	Condon, Josh	Chattanooga		20-6	Yes
1.	Dake, Kyle	Cornell		32-0	Yes
6.	Graham, Patrick	Oklahoma		21-4	Yes
20.	Greisheimer, Johnny	Edinboro		19-14	Yes
21.	Hancock, Paul	Army		32-10	Yes
29.	Harger, Pierce	Northwestern		25-8	Yes
22.	Houldsworth, Josh	Columbia		20-7	Yes
24.	Jones, Nijel	North Carolina St.		27-12	Yes
17.	Leblanc, Ryan	Indiana		22-8	Yes
30.	Lewandowski, Mark	Buffalo		30-7	Yes
26.	Marsh, Caleb	Kent St.		23-10	Yes
32.	Martin, Mark	Ohio St.		17-16	Yes
12.	Massa, Taylor	Michigan		25-7	Yes
5.	Monk, Steven	North Dakota St.		33-2	Yes
10.	Moore, Nick	Iowa		18-8	Yes
23.	Moreno, Michael	Iowa St.		26-7	Yes
33.	Ottinger, Mike	Central Michigan		23-13	Yes
7.	Polz, Conrad	Illinois		22-6	Yes
27.	Santiago, Ramon	Rider		29-7	Yes
31.	Staudenmayer, John	North Carolina		27-11	Yes
18.	Strickland, Zachary	Appalachian S.		23-11	Yes
8.	Sulzer, Nicholas	Virginia		24-8	Yes
2.	Taylor, David	Penn State		26-1	Yes
19.	Toal, Zach	Missouri		22-16	Yes
9.	Veltre, Josh	Bloomsburg		32-5	Yes
15.	Visicaro, Nicholas	Rutgers		15-9	Yes
16.	Walsh, Peyton	Navy		28-11	Yes
28.	Wilps, Tyler	Pittsburgh		19-7	Yes
14.	Wilson, Austin	Nebraska		24-12	Yes
3.	Yates, Peter	Virginia Tech		30-1	Yes
11.	Yohn, Cody	Minnesota		24-11	Yes
