Seed	Name	Team	Grade	Record	Scoring
9.	Abas, Jaden	Stanford		19-5	Yes
16.	Arrington, Jackson	NC State		20-7	Yes
10.	Blockhus, Michael	Minnesota		17-5	Yes
24.	Burgos, Ryan	Edinboro		16-5	Yes
29.	Chappell, Dylan	Bucknell		28-10	Yes
32.	Delgado, Isaiah	Utah Valley		15-14	Yes
33.	Demas, Dom	Cal Poly		11-7	Yes
1.	Diakomihalis, Yianni	Cornell		16-1	Yes
14.	Gomez, Austin	Wisconsin		10-4	Yes
28.	Hagan, Alec	Ohio		20-14	Yes
4.	Henson, Caleb	Virginia Tech		21-3	Yes
26.	Higley, Nate	George Mason		24-15	Yes
5.	Johnson, Paniro	Iowa State		17-4	Yes
17.	Kinner, Quinn	Rider		24-7	Yes
22.	Lamer, Chance	Michigan		12-7	Yes
19.	Lovett, Johnny	Central Michigan		19-9	Yes
13.	March, Kellyn	North Dakota State		23-7	Yes
30.	Martinez, Dylan	Air Force		18-11	Yes
6.	Mauller, Brock	Missouri		16-2	Yes
21.	Miller, Ethen	Maryland		26-7	Yes
18.	Moore, Mitch	Oklahoma		18-7	Yes
8.	Murin, Max	Iowa		19-4	Yes
3.	Parco, Kyle	Arizona State		23-4	Yes
15.	Realbuto, Colin	Northern Iowa		19-6	Yes
20.	Rooks, Graham	Indiana		26-8	Yes
2.	Sasso, Sammy	Ohio State		25-2	Yes
7.	Thomas, Yahya	Northwestern		22-4	Yes
25.	Tyus, Caleb	SIU Edwardsville		23-7	Yes
12.	Van Ness, Shayne	Penn State		19-6	Yes
27.	Verkleeren, Jarod	Virginia		20-8	Yes
23.	Voinovich, Victor	Oklahoma State		15-11	Yes
31.	White, Anthony	Rutgers		14-13	Yes
11.	Zapf, Doug	Pennsylvania		22-7	Yes
