Seed	Name	Team	Grade	Record	Scoring
24.	Babin, Nick	Columbia		21-12	Yes
9.	Barnett, Eric	Wisconsin		20-7	Yes
17.	Berginc, Ethan	Army West Point		27-6	Yes
19.	Brown, Braxton	Maryland		24-6	Yes
28.	Cardinale, Killian	West Virginia		10-1	Yes
10.	Courtney, Brandon	Arizona State		10-4	Yes
3.	Cronin, Liam	Nebraska		20-4	Yes
12.	DeAugustino, Michael	Northwestern		9-7	Yes
23.	Ferri, Jake	Kent State		21-7	Yes
2.	Glory, Pat	Princeton		20-0	Yes
32.	Jordan, Tanner	South Dakota State		16-14	Yes
7.	Kaylor, Brandon	Oregon State		21-7	Yes
1.	Lee, Spencer	Iowa		16-0	Yes
30.	Lorenzo, Antonio	Cal Poly		8-8	Yes
11.	McKee, Patrick	Minnesota		12-7	Yes
16.	Medley, Jack	Michigan		21-10	Yes
18.	Miller, Ryan	Pennsylvania		19-10	Yes
8.	Noto, Anthony	Lock Haven		29-2	Yes
33.	Owens, Tucker	Air Force		24-12	Yes
13.	Peterson, Dean	Rutgers		21-9	Yes
6.	Poulin, Stevo	Northern Colorado		28-5	Yes
25.	Prata, Joey	Oklahoma		20-9	Yes
29.	Provo, Nico	Stanford		21-9	Yes
4.	Ramos, Matt	Purdue		31-4	Yes
5.	Smith, Caleb	Appalachian State		26-5	Yes
22.	Sotelo, Diego	Harvard		15-8	Yes
14.	Surtin, Noah	Missouri		16-5	Yes
20.	Trombley, Jarrett	NC State		13-6	Yes
15.	Ungar, Brett	Cornell		14-10	Yes
27.	Ventresca, Eddie	Virginia Tech		16-7	Yes
21.	Volk, Jore	Wyoming		23-9	Yes
26.	Wagner, Jack	North Carolina		22-8	Yes
31.	Witcraft, Reece	Oklahoma State		14-9	Yes
