Seed	Name	Team	Grade	Record	Scoring
11.	Amine, Cameron	Michigan		12-3	Yes
30.	Barczak, Evan	Drexel		25-6	Yes
23.	Brady, Connor	Virginia Tech		14-9	Yes
19.	Braunagel, Dan	Illinois		19-11	Yes
7.	Caliendo III, Michael	North Dakota State		23-3	Yes
1.	Carr, David	Iowa State		22-0	Yes
26.	Cassella, Brevin	Binghamton		20-6	Yes
22.	Cook, Tanner	South Dakota State		17-7	Yes
13.	Facundo, Alex	Penn State		18-4	Yes
29.	Fish, Caleb	Michigan State		26-9	Yes
27.	Formato, Will	Appalachian State		28-8	Yes
9.	Griffith, Shane	Stanford		20-3	Yes
14.	Hall, Peyton	West Virginia		23-4	Yes
3.	Hamiti, Dean	Wisconsin		21-3	Yes
20.	Heller, Holden	Pittsburgh		14-6	Yes
6.	Kennedy, Patrick	Iowa		19-3	Yes
10.	Kharchla, Carson	Ohio State		13-4	Yes
33.	Kim, Josh	Harvard		15-14	Yes
18.	Mayfield, Maxx	Northwestern		23-10	Yes
15.	McCoy, Justin	Virginia		19-4	Yes
5.	Monday, Quincy	Princeton		22-2	Yes
32.	Moody, Cole	Wyoming		17-14	Yes
24.	Mosley, Rodrick	Gardner-Webb		27-5	Yes
21.	Nijenhuis, Gerrit	Oklahoma		16-7	Yes
16.	Ogunsanya, Joshua	Columbia		20-6	Yes
12.	Olejnik, Izzak	Northern Illinois		27-2	Yes
8.	Olguin, Matthew	Oregon State		23-6	Yes
2.	O`Toole, Keegan	Missouri		15-2	Yes
4.	Ramirez, Julian	Cornell		23-3	Yes
31.	Sheets, Wyatt	Oklahoma State		14-14	Yes
28.	Sparks, Andrew	Minnesota		15-9	Yes
25.	Wilson, Bubba	Nebraska		15-13	Yes
17.	Yant, Austin	Northern Iowa		18-6	Yes
