Seed	Name	Team	Grade	Record	Scoring
23.	Bullock, Jacob	Indiana		21-6	Yes
4.	Cassioppi, Tony	Iowa		21-3	Yes
22.	Catka, Hunter	Virginia Tech		19-6	Yes
30.	Copass, Hayden	Purdue		8-9	Yes
28.	Crosby, Dorian	Bucknell		20-12	Yes
9.	Davison, Lucas	Northwestern		22-4	Yes
26.	Day, Cory	Binghamton		18-10	Yes
20.	Doucet, Konner	Oklahoma State		19-10	Yes
10.	Elam, Zach	Missouri		18-3	Yes
17.	Ghadiali, Taye	Campbell		26-3	Yes
27.	Goldin, Ben	Pennsylvania		21-13	Yes
13.	Gordon, Tyrell	Northern Iowa		18-11	Yes
15.	Griess, Grady	Navy		35-5	Yes
18.	Heindselman, Josh	Oklahoma		24-10	Yes
2.	Hendrickson, Wyatt	Air Force		26-1	Yes
11.	Hillger, Trent	Wisconsin		16-8	Yes
32.	Joles, Garrett	Minnesota		15-14	Yes
3.	Kerkvliet, Greg	Penn State		15-2	Yes
24.	Mcdermott, Boone	Rutgers		16-5	Yes
12.	McKiernan, Colton	SIU Edwardsville		27-3	Yes
14.	Nevills, AJ	South Dakota State		19-6	Yes
19.	Niesenbaum, Jonah	Duke		24-4	Yes
16.	Orndorff, Tate	Ohio State		15-7	Yes
1.	Parris, Mason	Michigan		28-0	Yes
5.	Schultz, Cohlton	Arizona State		20-2	Yes
8.	Schuyler, Sam	Iowa State		17-3	Yes
6.	Slavikouski, Yaraslau	Harvard		27-4	Yes
29.	Smith, Jaron	Maryland		13-11	Yes
33.	Stefanik, Travis	Princeton		16-11	Yes
21.	Taylor, Nathan	Lehigh		16-10	Yes
31.	Tinker, Trevor	Cal Poly		15-8	Yes
7.	Trephan, Owen	NC State		21-3	Yes
25.	Wolfgram, Michael	West Virginia		20-12	Yes
