Seed	Name	Team	Grade	Record	Scoring
2.	Alirez, Andrew	Northern Colorado		23-0	Yes
6.	Bartlett, Beau	Penn State		21-2	Yes
26.	Bell, McKenzie	Rider		26-8	Yes
21.	Belton, Cleveland	Oregon State		18-8	Yes
20.	Bergeland, Jakob	Minnesota		14-9	Yes
11.	Carlson, Clay	South Dakota State		22-8	Yes
7.	Cornella, Vince	Cornell		19-4	Yes
15.	Crook, Tom	Virginia Tech		16-9	Yes
17.	D`Emilio, Dylan	Ohio State		16-11	Yes
28.	Ervin, Saul	SIU Edwardsville		18-8	Yes
25.	Ferrante, Carmen	Pennsylvania		20-11	Yes
12.	Filius, Parker	Purdue		21-9	Yes
27.	Hanna, Shannon	Campbell		24-8	Yes
14.	Happel, Cael	Northern Iowa		16-6	Yes
4.	Hardy, Brock	Nebraska		27-5	Yes
8.	Hart, Allan	Missouri		15-5	Yes
22.	Hines, Malyke	Lehigh		17-11	Yes
5.	Jack, Ryan	NC State		20-3	Yes
19.	Kazimir, Matt	Columbia		20-9	Yes
16.	Koderhandt, Josh	Navy		29-10	Yes
30.	Koleno, Seth	Clarion		21-9	Yes
33.	Mason, Josh	Bloomsburg		23-14	Yes
3.	Matthews, Cole	Pittsburgh		19-1	Yes
23.	Mattin, Cole	Michigan		14-9	Yes
10.	McNeil, Lachlan	North Carolina		22-7	Yes
32.	Miller, Kal	Maryland		16-16	Yes
9.	Schwartz, Mosha	Oklahoma		21-4	Yes
24.	Swiderski, Casey	Iowa State		11-10	Yes
18.	Tal Shahar, Frankie	Northwestern		12-7	Yes
29.	Titus, Jordan	West Virginia		21-12	Yes
1.	Woods, Real	Iowa		16-0	Yes
13.	Young, Carter	Oklahoma State		15-12	Yes
31.	Zargo, Joseph	Wisconsin		12-12	Yes
