Seed	Name	Team	Grade	Record	Scoring
8.	Allred, Silas	Nebraska		26-5	Yes
17.	Amos, Braxton	Wisconsin		18-7	Yes
13.	Bastida, Yonger	Iowa State		16-7	Yes
25.	Battista, Michael	Virginia		26-11	Yes
5.	Beard, Michael	Lehigh		19-3	Yes
20.	Bockman, Evan	Utah Valley		20-7	Yes
1.	Bonaccorsi, Nino	Pittsburgh		16-0	Yes
12.	Braunagel, Zac	Illinois		21-7	Yes
19.	Caffey, Cameron	Michigan State		21-5	Yes
10.	Cardenas, Jacob	Cornell		16-3	Yes
31.	Cooley, Austin	West Virginia		17-9	Yes
30.	Davison, Andrew	Northwestern		21-13	Yes
9.	Dean, Max	Penn State		20-3	Yes
3.	Elam, Rocky	Missouri		10-1	Yes
22.	Foy, Michial	Minnesota		15-10	Yes
18.	Harvey, Tanner	Oregon State		20-7	Yes
26.	Hoffman, Gavin	Ohio State		16-7	Yes
24.	Hopkins, Levi	Campbell		23-8	Yes
28.	Koser, Jacob	Navy		26-10	Yes
4.	Laird, Ethan	Rider		25-1	Yes
16.	Pentz, Owen	North Dakota State		17-7	Yes
29.	Rogers, Trey	Hofstra		22-5	Yes
32.	Shaw, Max	North Carolina		14-10	Yes
7.	Sloan, Tanner	South Dakota State		23-2	Yes
21.	Smith, Andy	Virginia Tech		15-7	Yes
11.	Smith, Jaxon	Maryland		21-6	Yes
27.	Stemmet, Nick	Stanford		19-9	Yes
23.	Stout, Luke	Princeton		20-9	Yes
15.	Surber, Luke	Oklahoma State		21-8	Yes
2.	Truax, Bernie	Cal Poly		13-1	Yes
6.	Trumble, Isaac	NC State		19-4	Yes
33.	Urbas, Cole	Pennsylvania		17-13	Yes
14.	Warner, Jacob	Iowa		15-6	Yes
