Seed	Name	Team	Grade	Record	Scoring
32.	Anderson, Jha`Quan	Gardner-Webb		25-14	Yes
20.	Antrassian, Neil	Virginia		21-9	Yes
12.	Assad, Abe	Iowa		18-4	Yes
7.	Bolen, Hunter	Virginia Tech		19-5	Yes
25.	Bonino, Brian	Drexel		21-8	Yes
3.	Brooks, Aaron	Penn State		12-1	Yes
33.	Carman, Anthony	West Virginia		17-13	Yes
5.	Coleman, Marcus	Iowa State		19-3	Yes
23.	Connell, Dylan	Illinois		18-16	Yes
14.	Feldkamp, Will	Clarion		24-4	Yes
28.	Ferreira, Jacob	Hofstra		22-11	Yes
8.	Finesilver, Matt	Michigan		24-6	Yes
22.	Hawks, Colton	Missouri		14-9	Yes
16.	Heller, Reece	Pittsburgh		18-8	Yes
2.	Hidlay, Trent	NC State		20-1	Yes
21.	Hoose, Giuseppe	Buffalo		20-7	Yes
27.	Hopkins, Caleb	Campbell		19-8	Yes
11.	Kane, Gavin	North Carolina		21-6	Yes
1.	Keckeisen, Parker	Northern Iowa		22-1	Yes
26.	Key, David	Navy		21-9	Yes
24.	King, Cade	South Dakota State		19-9	Yes
31.	Lehman, Zayne	Ohio		21-10	Yes
15.	Malczewski, Layne	Michigan State		23-4	Yes
4.	Munoz, Trey	Oregon State		24-1	Yes
19.	Nolan, Jacob	Binghamton		20-7	Yes
29.	Parker, Deanthony	North Dakota State		18-9	Yes
13.	Pinto, Lenny	Nebraska		23-9	Yes
6.	Romero, Kaleb	Ohio State		21-5	Yes
9.	Salazar, Isaiah	Minnesota		16-2	Yes
17.	Samuelson, Tate	Lehigh		21-7	Yes
18.	Soldano, Brian	Rutgers		22-10	Yes
30.	Waddell, Matthew	Chattanooga		17-7	Yes
10.	Wittlake, Travis	Oklahoma State		19-5	Yes
