Seed	Name	Team	Grade	Record	Scoring
25.	Aiken-Phillips, Jacob	Cornell		18-15	Yes
26.	Black, Brooks	Illinois		17-14	Yes
22.	Butler, Nathan	Stanford		28-7	Yes
7.	Cabell, Blaize	Northern Iowa		26-5	Yes
6.	Coon, Adam	Michigan		28-4	Yes
12.	Dejournette, Denzel	Appalachian St.		32-4	Yes
13.	Deuel, Tyler	Binghamton		27-4	Yes
19.	Everard, J.J.	South Dakota St.		20-12	Yes
1.	Gwiazdowski, Nick	North Carolina St.		30-0	Yes
31.	Harms, Tanner	Wyoming		18-10	Yes
18.	Henderson, Jacob	Old Dominion		23-11	Yes
27.	Jensen, Collin	Nebraska		19-13	Yes
29.	Johnson, Jared	Chattanooga		30-9	Yes
17.	Kettler, Jacob	George Mason		27-11	Yes
16.	Knutson, Evan	North Dakota St.		22-8	Yes
9.	Kroells, Michael	Minnesota		23-14	Yes
15.	Larson, Ross	Oklahoma		25-7	Yes
8.	Lawson, James	Penn St.		15-4	Yes
21.	Lytle, Mimmo	Kent St.		28-18	Yes
4.	Marsden, Austin	Oklahoma St.		26-2	Yes
2.	McMullan, Michael	Northwestern		26-2	Yes
5.	Medbery, Connor	Wisconsin		28-3	Yes
11.	Mellon, Devin	Missouri		30-9	Yes
30.	Myers, Spencer	Maryland		7-5	Yes
24.	Ryan, Garrett	Columbia		22-14	Yes
28.	Shaw, Riley	Cleveland St.		31-4	Yes
32.	Smith, William	Rutgers		18-8	Yes
20.	Solomon, Ryan	Pittsburgh		15-11	Yes
14.	Stolfi, Joe	Bucknell		37-7	Yes
23.	Tavanello, Nick	Ohio St.		13-11	Yes
3.	Telford, Bobby	Iowa		27-3	Yes
10.	Walz, Ty	Virginia Tech		27-7	Yes
