Seed	Name	Team	Grade	Record	Scoring
19.	Abro, Anthony	Eastern Mich.		24-12	Yes
29.	Atwood, Braden	Purdue		16-8	Yes
7.	Ayala, Abram	Princeton		32-5	Yes
28.	Barnes, Bryce	Army		18-6	Yes
26.	Beazley, Kevin	Old Dominion		27-15	Yes
9.	Bennett, Jace	Cornell		37-10	Yes
23.	Bethea, Canaan	Penn		16-7	Yes
32.	Boykin, Scottie	Chattanooga		25-11	Yes
6.	Burak, Nathan	Iowa		20-5	Yes
1.	Cox, J`Den	Missouri		33-0	Yes
21.	Crawford, Cody	Oregon St.		31-8	Yes
3.	Gadson, Kyven	Iowa St.		25-1	Yes
10.	Hartmann, Conner	Duke		26-2	Yes
20.	Haught, Jared	Virginia Tech		18-17	Yes
8.	Huntley, Max	Michigan		21-8	Yes
17.	Koepke, Jeffrey	Illinois		20-15	Yes
12.	McCall, Timothy	Wisconsin		21-11	Yes
2.	McIntosh, Morgan	Penn St.		26-2	Yes
30.	Minto, Basil	Northern Iowa		20-14	Yes
24.	Noon, Trent	Northern Colorado		21-13	Yes
31.	Nye, Zach	Virginia		17-9	Yes
27.	Pickett, Vincent	Edinboro		17-16	Yes
11.	Polizzi, Alex	Northwestern		25-10	Yes
16.	Riddick, Elliot	Lehigh		18-11	Yes
5.	Schiller, Scott	Minnesota		24-5	Yes
25.	Scott, Shawn	Northern Ill.		23-11	Yes
18.	Smith, Jake	West Virginia		23-9	Yes
4.	Snyder, Kyle	Ohio St.		26-3	Yes
15.	Studebaker, Aaron	Nebraska		30-10	Yes
22.	Tindle, Jake	SIU Edwardsville		17-17	Yes
14.	Wellington, Phillip	Ohio		23-6	Yes
13.	Woods, Shane	Wyoming		32-3	Yes
