Seed	Name	Team	Grade	Record	Scoring
26.	Andrews, Trey	Northern Colorado		19-11	Yes
5.	Boyle, Sean	Chattanooga		30-5	Yes
21.	Carpio, Ares	Arizona St.		16-12	Yes
11.	Conaway, Jordan	Penn St.		23-6	Yes
8.	Cox, Tyler	Wyoming		22-7	Yes
3.	Dance, Joey	Virginia Tech		29-2	Yes
29.	DeAngelo, Joe	North Carolina St.		16-11	Yes
25.	Delgado, Jesse	Illinois		9-3	Yes
30.	Forys, Dom	Pittsburgh		17-12	Yes
2.	Garrett, Nahshon	Cornell		28-3	Yes
6.	Gilman, Thomas	Iowa		27-4	Yes
23.	Herrmann, Nick	Virginia		15-7	Yes
32.	Jeske, Brandon	Old Dominion		13-11	Yes
7.	Klimara, Eddie	Oklahoma St.		20-5	Yes
31.	Lambert, Tim	Nebraska		25-10	Yes
20.	Lizak, Ethan	Minnesota		26-13	Yes
22.	Marquez, Joaquin	Citadel		23-13	Yes
19.	Martinez, Josh	Air Force		21-5	Yes
12.	Mines, Kory	Edinboro		31-7	Yes
18.	Moisey, Zeke	West Virginia		27-13	Yes
28.	Parker, Scott	Lehigh		18-9	Yes
9.	Peters, Dylan	Northern Iowa		23-5	Yes
16.	Petrov, Paul	Bucknell		27-5	Yes
10.	Rios, Ronnie	Oregon St.		31-4	Yes
14.	Rodriguez, Joshua	North Dakota St.		18-6	Yes
27.	Silver, Evan	Stanford		16-10	Yes
24.	Terao, David	American		37-5	Yes
15.	Tolbert, Chasen	Utah Valley		18-6	Yes
4.	Tomasello, Nathan	Ohio St.		28-4	Yes
1.	Waters, Alan	Missouri		30-0	Yes
13.	Willeford, Ben	Cleveland St.		27-8	Yes
17.	Youtsey, Conor	Michigan		22-12	Yes
