Seed	Name	Team	Grade	Record	Scoring
24.	Brennan, Connor	Rider		13-5	Yes
1.	Dieringer, Alex	Oklahoma St.		29-0	Yes
19.	Fierro, Adam	CSU Bakersfield		18-11	Yes
27.	Friesth, Dakota	Wyoming		22-11	Yes
29.	Glass, Clark	Oklahoma		18-13	Yes
14.	Gracey, Coleman	Army		33-10	Yes
7.	Harger, Pierce	Northwestern		28-6	Yes
16.	Hightower, Harrison	Ohio		25-10	Yes
3.	Jordan, Isaac	Wisconsin		22-2	Yes
5.	Jordan, Bo	Ohio St.		17-1	Yes
32.	McMahon, Connor	SIU Edwardsville		15-13	Yes
13.	Moore, Cooper	Northern Iowa		22-5	Yes
26.	Moore, Nick	Iowa		22-9	Yes
2.	Moreno, Michael	Iowa St.		22-3	Yes
9.	Morse, Jackson	Illinois		26-6	Yes
12.	Palacio, Dylan	Cornell		19-2	Yes
23.	Polkowske, Mitchell	Northern Colorado		21-7	Yes
15.	Ramos, Ethan	North Carolina		28-8	Yes
21.	Reaghard, Troy	Pittsburgh		12-10	Yes
20.	Robinson IV, Patrick	Purdue		14-17	Yes
17.	Rohskopf, Max	North Carolina St.		24-14	Yes
30.	Schleifer, Jonathan	Princeton		26-11	Yes
25.	Stafford, Jesse	Air Force		20-7	Yes
4.	Sulzer, Nicholas	Virginia		26-2	Yes
28.	Sutton, Garrett	Michigan		17-9	Yes
18.	Thomas, Seth	Oregon St.		25-13	Yes
8.	Walsh, Peyton	Navy		40-8	Yes
6.	Walsh, Taylor	Indiana		34-5	Yes
11.	Warner, Tristan	Old Dominion		29-3	Yes
22.	White, Tyrel	Columbia		24-14	Yes
10.	Wilson, Jim	Stanford		30-4	Yes
31.	Wilson, Austin	Nebraska		16-14	Yes
