Seed	Name	Team	Grade	Record	Scoring
25.	Alexander, Geoffrey	Maryland		14-11	Yes
10.	Beckman, Mason	Lehigh		25-5	Yes
13.	Brewer, Cody	Oklahoma		17-1	Yes
14.	Bruno, Rossi	Michigan		19-8	Yes
3.	Clark, Cory	Iowa		26-5	Yes
1.	Dardanes, Christopher	Minnesota		23-0	Yes
26.	Delvecchio, Scott	Rutgers		21-10	Yes
19.	Deutsch, Robert	Rider		24-8	Yes
8.	Devoy, Kevin	Drexel		36-5	Yes
12.	DiCamillo, George	Virginia		26-8	Yes
4.	DiJulius, Johnni	Ohio St.		28-6	Yes
31.	Finesilver, Mitch	Duke		14-10	Yes
18.	Grey, Mark	Cornell		17-10	Yes
7.	Gulibon, James	Penn St.		22-7	Yes
6.	Hall, Earl	Iowa St.		25-6	Yes
17.	Harding, Gary Wayne	Oklahoma St.		28-11	Yes
28.	Hathaway, Jack	Oregon St.		28-10	Yes
29.	Heilmann, Troy	North Carolina		22-11	Yes
20.	Malone, Dominick	Northwestern		21-17	Yes
16.	McGuire, Mackenzie	Kent St.		29-11	Yes
27.	Montoya, Eric	Nebraska		18-13	Yes
21.	Norstrem, Kevin	Virginia Tech		19-15	Yes
30.	Perry, Ronald	Lock Haven		30-9	Yes
23.	Rauser, Jade	Utah Valley		21-6	Yes
5.	Richards, Zane	Illinois		23-6	Yes
24.	Richardson, Caleb	Penn		25-9	Yes
11.	Sabatello, Danny	Purdue		26-8	Yes
9.	Schopp, A.J.	Edinboro		19-2	Yes
32.	Schram, Connor	Stanford		18-3	Yes
15.	Soto, Nick	Chattanooga		28-9	Yes
22.	Synon, Zach	Missouri		29-11	Yes
2.	Taylor, Bradley	Wisconsin		23-3	Yes
