Seed	Name	Team	Grade	Record	Scoring
9.	Abidin, Anthony	Nebraska		31-4	Yes
7.	Ashnault, Anthony	Rutgers		26-6	Yes
31.	Bengtson, Mitchell	North Dakota St.		23-8	Yes
4.	Carter, Devin	Virginia Tech		29-3	Yes
13.	Cruz, Randy	Lehigh		19-7	Yes
6.	Dardanes, Nick	Minnesota		22-3	Yes
5.	Dziewa, Josh	Iowa		27-7	Yes
17.	Fisher, George	Michigan		24-17	Yes
14.	Heil, Dean	Oklahoma St.		22-8	Yes
10.	Horan, Zachary	Central Mich.		20-4	Yes
15.	Hudson, Jamel	Hofstra		23-5	Yes
28.	Jack, Kevin	North Carolina St.		27-8	Yes
23.	Kraus, Matthew	Arizona St.		20-10	Yes
24.	Lawrence, Nick	Purdue		22-17	Yes
26.	Longo, Mike	Appalachian St.		21-14	Yes
8.	Martinez, Geo	Boise State		26-4	Yes
3.	Mayes, Lavion	Missouri		33-2	Yes
11.	Mecate, Chris	Old Dominion		21-8	Yes
16.	Morales, Mike	West Virginia		29-14	Yes
18.	Oster, Jameston	Northwestern		21-12	Yes
25.	Pearce, David	Drexel		22-10	Yes
21.	Pongracz, Mike	Chattanooga		19-15	Yes
2.	Port, Mitchell	Edinboro		32-1	Yes
27.	Rodrigues, Steven	Illinois		16-11	Yes
20.	Rodriguez, Dante	Iowa St.		18-6	Yes
29.	Small, Tyler	Kent St.		31-13	Yes
22.	Smith, Tyler	Bucknell		25-6	Yes
30.	Spisak, Joseph	Virginia		17-8	Yes
1.	Stieber, Logan	Ohio St.		24-0	Yes
19.	Thielke, Jesse	Wisconsin		5-11	Yes
12.	Ward, Joseph	North Carolina		27-6	Yes
32.	Zeisloft, Chuck	Rider		19-14	Yes
