Seed	Name	Team	Grade	Record	Scoring
21.	Atkinson, Andrew	Virginia		17-13	Yes
20.	Blanco, Noel	Drexel		22-14	Yes
8.	Boyle, John	American		36-8	Yes
24.	Brascetta, Nick	Virginia Tech		10-2	Yes
17.	Chino, Spartak	Ohio		19-11	Yes
18.	Collica, Anthony	Oklahoma St.		25-9	Yes
10.	DeAngelis, Justin	Oklahoma		20-5	Yes
6.	Demas, Josh	Ohio St.		16-7	Yes
22.	Elder, Alex	Oregon St.		31-10	Yes
19.	Flournoy, Gregory	George Mason		27-10	Yes
4.	Green, James	Nebraska		30-4	Yes
25.	Hernandez, Steven	Boise State		18-7	Yes
27.	Kelly, Mike	Iowa		23-10	Yes
28.	Kerr-Brown, Immanuel	Duke		22-11	Yes
9.	LaVallee, Joseph	Missouri		22-11	Yes
1.	Martinez, Isaiah	Illinois		29-0	Yes
23.	Martino, Brooks	Penn		14-12	Yes
7.	Miller, Ian	Kent St.		18-6	Yes
12.	Minotti, Mitchell	Lehigh		16-6	Yes
11.	Murphy, Brian	Michigan		26-10	Yes
3.	Ness, Dylan	Minnesota		28-2	Yes
5.	Pack, Cody	South Dakota St.		34-4	Yes
32.	Parsons, Russell	Army		26-10	Yes
13.	Perrotti, Anthony	Rutgers		20-8	Yes
31.	Pierce, Oliver	Arizona St.		19-6	Yes
2.	Realbuto, Brian	Cornell		19-2	Yes
29.	Scheidel, Markus	Columbia		17-7	Yes
15.	Staudenmayer, Justin	Brown		31-9	Yes
16.	Walker, Aaron	Citadel		27-8	Yes
14.	Walsh, Chad	Rider		29-8	Yes
26.	Welch, Doug	Purdue		27-11	Yes
30.	Zeerip, Brandon	Eastern Mich.		23-13	Yes
