Seed	Name	Team	Grade	Record	Scoring
9.	Booth, Joseph	Hofstra		32-7	Yes
32.	Brewster, Joseph	South Dakota St.	11	22-14	Yes
2.	Caldwell, Tyler	Oklahoma St.	19	24-3	Yes
31.	Cook, Curtis	Utah Valley	19	7-7	Yes
22.	Friesth, Dakota	Wyoming	10	28-8	Yes
7.	Harger, Pierce	Northwestern	18	26-7	Yes
19.	Hightower, Harrison	Ohio	18	31-11	Yes
17.	Houldsworth, Josh	Columbia	12	25-11	Yes
24.	Kemerer, Jacob	Lock Haven	19	22-8	Yes
29.	Kent, Casey	Penn	9	19-7	Yes
21.	Leblanc, Ryan	Indiana	18	35-13	Yes
11.	Luvsandorj, Turtogtokh	Citadel	19	35-6	Yes
6.	Mock, Corey	Chattanooga	18	30-3	Yes
4.	Monk, Steven	North Dakota St.	12	31-1	Yes
30.	Moon, Chris	Virginia Tech	18	21-9	Yes
10.	Moore, Cooper	UNI	16	26-6	Yes
5.	Moore, Nick	Iowa	18	21-3	Yes
8.	Moreno, Michael	Iowa St.	18	26-7	Yes
12.	Morse, Jackson	Illinois	18	25-6	Yes
14.	Palacio, Dylan	Cornell	9	29-7	Yes
25.	Santiago, Ramon	Rider	19	20-12	Yes
20.	Staudenmayer, John	North Carolina	17	14-12	Yes
3.	Sulzer, Nicholas	Virginia	18	32-1	Yes
1.	Taylor, David	Penn St.	19	29-0	Yes
26.	Toal, Zach	Missouri	10	26-5	Yes
18.	Trott, Austin	Gardner-Webb	16	28-7	Yes
28.	Veltre, Josh	Bloomsburg	19	22-5	Yes
27.	Walsh, Peyton	Navy	11	25-12	Yes
16.	Wilson, Jim	Stanford	9	33-6	Yes
23.	Wilson, Austin	Nebraska	16	22-14	Yes
13.	Yates, Daniel	Michigan	19	18-7	Yes
15.	Zilverberg, Daniel	Minnesota	19	19-13	Yes
