Seed	Name	Team	Grade	Record	Scoring
14.	Bright, Edgar	Pittsburgh	9	18-9	Yes
21.	Brown, Shyhiem	Maryland	16	19-8	Yes
4.	Carter, Devin	Virginia Tech	18	14-0	Yes
15.	Collica, Anthony	Oklahoma St.	9	28-7	Yes
6.	Dardanes, Christopher	Minnesota	18	25-6	Yes
28.	Delgado, Joey	Oregon St.	9	24-13	Yes
12.	Durso, Richard	Frank. & Marsh.	11	34-3	Yes
13.	Dutton III, Stephen	Michigan	18	8-4	Yes
20.	Dziewa, Josh	Iowa	18	25-8	Yes
29.	Flannery, Nick	Buffalo	12	22-16	Yes
17.	Gardner, Laike	Lehigh	10	17-8	Yes
18.	Garner, Avery	Utah Valley	19	14-8	Yes
9.	Henderson, Evan	North Carolina	11	33-6	Yes
7.	Horan, Zach	Central Mich.	17	30-4	Yes
24.	Johnston, Colin	West Virginia	12	28-8	Yes
30.	Khishignyam, Undrakhbayar	Citadel	17	22-3	Yes
11.	Lazor, Joey	UNI	19	16-5	Yes
31.	Mayes, Lavion	Missouri		23-11	Yes
5.	Mecate, Chris	Old Dominion	17	27-7	Yes
32.	Moreno, Gabe	Iowa St.	16	16-19	Yes
23.	Neff, Daniel	Lock Haven	17	31-8	Yes
26.	Nevinger, Michael	Cornell	12	14-4	Yes
1.	Port, Mitchell	Edinboro	18	26-0	Yes
10.	Preston, Todd	Harvard	10	22-8	Yes
3.	Retherford, Zain	Penn St.	9	29-1	Yes
25.	Rodrigues, Steven	Illinois	17	12-9	Yes
27.	Sabatello, Danny	Purdue	17	22-12	Yes
19.	Scotton, Tyler	Boston U.	11	17-11	Yes
22.	Speno, Sam	North Carolina St.	10	24-10	Yes
16.	Spisak, Joseph	Virginia	18	19-12	Yes
2.	Stieber, Logan	Ohio St.	18	25-1	Yes
8.	Vaith, Luke	Hofstra	19	28-6	Yes
