Seed	Name	Team	Grade	Record	Scoring
8.	Clark, Cory	Iowa	16	17-2	Yes
9.	Cox, Tyler	Wyoming	10	28-5	Yes
30.	Cruz, Darian	Lehigh	9	23-7	Yes
16.	Dance, Joey	Virginia Tech	9	23-8	Yes
1.	Delgado, Jesse	Illinois	18	25-2	Yes
11.	Deutsch, Robert	Rider	17	30-4	Yes
31.	Franco, Jamie	Hofstra	19	21-13	Yes
2.	Garrett, Nahshon	Cornell	10	30-1	Yes
26.	Germaine, Jared	Eastern Mich.	19	20-2	Yes
20.	Hall, Earl	Iowa St.	9	18-12	Yes
27.	Herrmann, Nick	Virginia	10	17-10	Yes
23.	Keener, Corey	Central Mich.	16	19-12	Yes
14.	Klimara, Edward	Oklahoma St.	10	18-8	Yes
29.	Kraisser, Nathan	North Carolina	10	25-8	Yes
12.	Lambert, Tim	Nebraska	9	22-11	Yes
4.	Martinez, Josh	Air Force	10	32-3	Yes
3.	Megaludis, Nicholas	Penn St.	11	26-3	Yes
25.	Mines, Kory	Edinboro	18	22-9	Yes
19.	Parisi, Dominic	Appalachian St.	9	18-6	Yes
6.	Patterson, Jarrod	Oklahoma	19	18-2	Yes
5.	Peters, Dylan	UNI	16	31-4	Yes
17.	Petrov, Paul	Bucknell	10	30-7	Yes
32.	Rauser, Jade	Utah Valley	17	10-3	Yes
24.	Richardson, Caleb	Penn	9	12-9	Yes
28.	Roberts, Nick	Ohio St.	10	27-14	Yes
13.	Silver, Evan	Stanford	10	23-4	Yes
22.	Stainbrook, Cory	West Virginia	9	26-14	Yes
7.	Taylor, Bradley	Wisconsin	16	17-4	Yes
10.	Terao, David	American	17	32-8	Yes
21.	White, David	Binghamton	17	26-11	Yes
18.	Youtsey, Conor	Michigan	16	19-11	Yes
15.	Zanetta, Anthony	Pittsburgh	19	20-9	Yes
