Seed	Name	Team	Grade	Record	Scoring
19.	Brennan, Conor	Rider	17	26-7	Yes
5.	Brown, Matt	Penn St.	18	28-4	Yes
25.	Caldwell, Cody	UNI	17	16-13	Yes
21.	Clemons, Levi	Chattanooga	11	25-12	Yes
15.	Curling, Billy	Old Dominion	19	17-8	Yes
17.	Dallago, Tony	Illinois	19	20-11	Yes
20.	Dessino, Mike	Bloomsburg	19	28-8	Yes
11.	Doty, Stephen	Virginia	19	27-8	Yes
31.	England, Mike	Missouri		19-14	Yes
4.	Evans, Michael	Iowa	18	25-4	Yes
22.	Gabel, Austin	Virginia Tech	17	13-7	Yes
29.	Hammond, Bryce	CSU Bakersfield	16	20-8	Yes
2.	Howe, Andrew	Oklahoma	19	24-1	Yes
18.	Hughes, Shane	Columbia	11	22-8	Yes
3.	Kokesh, Robert	Nebraska	17	32-1	Yes
23.	Latham, Joe	Oregon St.	17	27-14	Yes
32.	Liegel, Scott	Wisconsin	19	18-13	Yes
27.	Marsh, Caleb	Kent St.	10	18-11	Yes
14.	Martin, Mark	Ohio St.	10	27-11	Yes
28.	Meyer, Kyle	Stanford	11	26-11	Yes
16.	Miller, Mathew	Navy	10	21-4	Yes
10.	Ottinger, Mike	Central Mich.	11	25-5	No
1.	Perry, Chris	Oklahoma St.	19	25-1	Yes
24.	Renda, Pete	North Carolina St.	9	27-9	Yes
9.	Riddick, Elliot	Lehigh	16	23-10	Yes
30.	Scheffel, Jakob	West Virginia	10	29-8	Yes
6.	Storley, Logan	Minnesota	11	30-5	Yes
8.	Walters, Cody	Ohio	17	12-2	Yes
12.	Weatherman, Tanner	Iowa St.	17	22-14	Yes
7.	Wilps, Tyler	Pittsburgh	18	28-5	Yes
26.	Wukie, Bradley	Penn	10	14-8	Yes
13.	Zillmer, Hayden	North Dakota St.	9	27-6	Yes
