Seed	Name	Team	Grade	Record	Scoring
17.	Arthur, Justin	Clarion	9	26-14	Yes
27.	Barber, Christian	North Carolina	17	32-10	Yes
18.	Birmingham, Kevin	Davidson	11	20-8	Yes
28.	Busler, Bryce	Bloomsburg	19	18-7	Yes
29.	Claxton, Tywan	Ohio	17	26-7	Yes
12.	Cottrell, Dylan	Appalachian St.	9	26-1	Yes
2.	Dardanes, Nick	Minnesota	18	32-3	Yes
24.	Depalma, Michael	Kent St.	17	24-18	Yes
21.	English, James	Penn St.	19	11-5	Yes
31.	Frisch, Matthew	Citadel	17	27-9	Yes
9.	Grajales, Eric	Michigan	19	20-10	Yes
13.	Grothus, Brody	Iowa	17	23-10	Yes
8.	Habat, David	Edinboro	18	26-4	Yes
1.	Houdashelt, Drake	Missouri	16	34-1	Yes
26.	Jillard, Robert	Northern Ill.	12	9-8	Yes
11.	Kindig, Joshua	Oklahoma St.	18	20-8	Yes
32.	Kocer, Alex	South Dakota St.	16	29-11	Yes
19.	Lubeck, Rylan	Wisconsin	16	12-12	Yes
25.	Maldarelli, Macaulay	Lock Haven	12	33-14	Yes
4.	Maple, Kendric	Oklahoma	19	22-4	Yes
15.	Minotti, Mitchell	Lehigh	10	22-8	Yes
20.	Morales, Mike	West Virginia	12	19-7	Yes
10.	Neibert, Zach	Virginia Tech	19	22-7	Yes
22.	Paddock, Ian	Ohio St.	19	25-14	Yes
30.	Racciato, Mike	Pittsburgh	9	22-13	Yes
16.	Richardson, Alexander	Old Dominion	10	25-8	Yes
14.	Sakaguchi, Scott	Oregon St.	18	29-9	Yes
7.	Sako, Augustus	Virginia	18	18-3	Yes
6.	Sueflohn, Jake	Nebraska	10	29-4	Yes
23.	Theobold, Ken	Rutgers	10	22-12	Yes
5.	Tsirtsis, Jason	Northwestern	16	27-3	Yes
3.	Villalonga, Christopher	Cornell	11	31-2	Yes
