Seed	Name	Team	Grade	Record	Scoring
9.	Abounader, Domenic	Michigan	9	15-9	Yes
28.	Avery, Victor	Edinboro	17	23-5	Yes
12.	Bernstein, Ophir	Brown	11	33-8	Yes
26.	Boyd, Nolan	Oklahoma St.	16	29-11	Yes
10.	Courts, Kenny	Ohio St.	17	29-7	Yes
3.	Dean, Gabriel	Cornell	9	35-2	Yes
13.	Dechow, Jack	Old Dominion	16	17-4	Yes
8.	Dudley, Timothy	Nebraska	9	25-6	Yes
20.	Fausey, Jonathan	Virginia	19	15-9	Yes
31.	Hein, Jackson	Wisconsin	19	12-7	Yes
21.	Hernandez, Zack	Columbia	10	23-11	Yes
17.	Hightower, Devin	Air Force	12	17-11	Yes
27.	Joseph, Phillip	Eastern Mich.	19	23-7	Yes
23.	Julson, Kurtis	North Dakota St.	10	21-11	Yes
15.	Loder, Ryan	UNI	19	12-2	Yes
5.	Lofthouse, Ethen	Iowa	19	20-3	Yes
22.	Morehead, Austin	Oregon St.	11	21-10	Yes
29.	Morrison, Clint	Rider	18	18-4	Yes
25.	Patrick, Donald	Davidson	12	21-3	Yes
18.	Reyes, Lazarus	Illinois	16	18-12	Yes
14.	Rizqallah, John	Michigan St.	18	20-10	Yes
2.	Ruth, Edward	Penn St.	19	29-1	Yes
1.	Sheptock, Jimmy	Maryland	19	28-0	Yes
19.	Sheridan, Lucas	Indiana	10	27-14	Yes
24.	Stauffer, Blake	Arizona St.	16	23-9	Yes
7.	Steinhaus, Kevin	Minnesota	19	21-6	Yes
32.	Stroh, Benjamin	Wyoming	9	27-6	Yes
6.	Swartz, Jacob	Boise State	19	13-1	Yes
11.	Thomas, Lawrence	Penn	17	25-8	Yes
4.	Thomusseit, Max	Pittsburgh	18	18-2	Yes
16.	Vetterlein, Nick	Virginia Tech	19	25-8	Yes
30.	Weatherspoon, Lelund	Iowa St.	16	24-9	Yes
