Seed	Name	Team	Grade	Record	Scoring
13.	Alton, Dylan	Penn St.	18	18-5	Yes
16.	Brunson, Zach	Illinois	16	22-12	Yes
10.	Butler, Blaise	Virginia	17	20-6	Yes
24.	Chino, Spartak	Ohio	17	19-11	Yes
20.	DeAngelis, Justin	Oklahoma	18	16-5	Yes
3.	Dieringer, Alex	Oklahoma St.	17	27-1	Yes
17.	Gantt, Thomas	North Carolina St.	11	32-8	Yes
1.	Green, James	Nebraska	10	29-1	Yes
29.	Greisheimer, Johnny	Edinboro	19	24-9	Yes
28.	Hancock, Paul	Army	12	27-12	Yes
22.	Hudson, Alex	Chattanooga	18	30-7	Yes
5.	Jordan, Isaac	Wisconsin	16	27-5	Yes
19.	Kerr-Brown, Immanuel	Duke	18	25-11	Yes
32.	Kreimier, Joshua	Air Force	12	14-8	Yes
14.	LaVallee, Joseph	Missouri		27-8	Yes
27.	Matthews, Austin	Clarion	9	22-7	Yes
4.	Miller, Ian	Kent St.	9	27-4	Yes
31.	Napoli, Joseph	Lehigh	19	12-3	Yes
9.	Ness, Dylan	Minnesota	18	19-5	Yes
15.	Pack, Cody	South Dakota St.	11	28-6	Yes
8.	Pena, Roger	Oregon St.	18	33-4	Yes
23.	Perrotti, Anthony	Rutgers	17	18-12	Yes
7.	Realbuto, Brian	Cornell	9	33-7	Yes
25.	Scheidel, Markus	Columbia	9	26-10	Yes
12.	Smith, Luke	Central Mich.	17	19-10	Yes
30.	Sommer, Austin	Drexel	11	14-13	Yes
2.	St. John, Derek	Iowa	19	25-4	Yes
6.	Taffur, Nestor	Boston U.	19	35-2	Yes
18.	Walker, Aaron	Citadel	16	30-7	Yes
11.	Walsh, Taylor	Indiana	10	34-5	Yes
21.	Warner, Tristan	Old Dominion	18	19-11	Yes
26.	Zeerip, Brandon	Eastern Mich.	19	20-12	Yes
