Seed	Name	Team	Grade	Record	Scoring
15.	Atwood, Braden	Purdue	18	25-10	Yes
28.	Ayala, Abram	Princeton	10	26-10	Yes
27.	Barnes, Bryce	Army	10	20-13	Yes
10.	Bennett, Jace	Cornell	11	29-9	Yes
9.	Boley, Christian	Maryland	19	22-4	Yes
30.	Bolich, John	Lehigh	17	16-13	Yes
19.	Bonaccorsi, Nick	Pittsburgh	17	21-12	Yes
11.	Burak, Nathan	Iowa	10	16-5	Yes
2.	Cox, J`Den	Missouri		33-2	Yes
25.	Fox, James	Harvard	11	15-9	Yes
5.	Gadson, Kyven	Iowa St.	18	25-2	Yes
21.	Haas, Marshall	Citadel	17	25-17	Yes
23.	Hartmann, Conner	Duke	17	23-9	Yes
1.	Heflin, Nick	Ohio St.	19	24-1	Yes
18.	Jones, KaRonne	North Carolina St.	19	14-13	Yes
20.	McCall, Timothy	Wisconsin	18	16-14	Yes
3.	McIntosh, Morgan	Penn St.	17	27-3	Yes
12.	Meeks, Taylor	Oregon St.	17	27-6	Yes
13.	Mitchell, Daniel	American		24-7	Yes
29.	Nye, Zach	Virginia	17	20-9	Yes
26.	Palik, Brandon	Drexel	18	20-7	Yes
14.	Penny, Chris	Virginia Tech	19	25-11	Yes
6.	Perry, Richard	Bloomsburg	12	31-1	Yes
16.	Polizzi, Alex	Northwestern	11	24-10	Yes
32.	Rands, Paul	Navy	11	18-9	Yes
24.	Reed, Cody	Binghamton	17	27-10	Yes
31.	Rosholt, Blake	Oklahoma St.	19	12-8	Yes
7.	Rutt, Travis	Oklahoma	19	21-5	Yes
17.	Scherer, Dan	Stanford	11	20-4	Yes
4.	Schiller, Scott	Minnesota	18	29-4	Yes
8.	Wellington, Phillip	Ohio	17	33-3	Yes
22.	Woods, Shane	Wyoming	10	22-7	Yes
