Seed	Name	Team	Grade	Record	Scoring
6.	Beckman, Mason	Lehigh	17	24-3	Yes
13.	Brewer, Cody	Oklahoma	17	20-7	Yes
18.	Bruno, Rosario	Michigan	10	19-14	Yes
1.	Colon, Joe	UNI	19	30-1	Yes
32.	Dellefave, Vincent	Rutgers	19	13-10	Yes
21.	Devoy, Kevin	Drexel	9	19-8	Yes
9.	DiJulius, Johnni	Ohio St.	17	26-7	Yes
24.	Goodwin, Tyler	Maryland	9	15-8	Yes
5.	Graff, Tyler	Wisconsin	19	27-4	Yes
15.	Grey, Mark	Cornell	9	30-7	Yes
29.	Gulibon, James	Penn St.	16	17-13	Yes
26.	Gustafson, Dennis	Virginia Tech	9	24-13	Yes
30.	Mack, Shelton	Pittsburgh	12	24-9	Yes
28.	Malone, Dominick	Northwestern	10	16-15	Yes
11.	Mango, Ryan	Stanford	12	27-3	Yes
17.	Manley, Matt	Missouri		23-14	Yes
16.	McGuire, Mackenzie	Kent St.	9	27-13	Yes
4.	Morrison, Jonathon	Oklahoma St.	19	25-1	Yes
23.	Palmer, Joey	Oregon St.	9	19-10	Yes
20.	Pizzuto, Vincent	Eastern Mich.	17	20-9	Yes
7.	Quiroga, Cashé	Purdue	19	16-6	Yes
3.	Ramos, Tony	Iowa	19	27-2	Yes
31.	Rasche, Colton	Navy	11	25-12	Yes
14.	Richards, Zane	Illinois	16	25-7	Yes
27.	Rinker, Gregory	Air Force	12	19-11	Yes
12.	Roth, Joe	Central Mich.	19	23-7	Yes
2.	Schopp, Aaron (A.J.)	Edinboro	18	31-1	Yes
25.	Smith, Nick	Northern Ill.	12	8-11	Yes
10.	Soto, Nick	Chattanooga	10	33-9	Yes
8.	Thorn, David	Minnesota	19	24-6	Yes
19.	Wilcox, Nick	Bloomsburg	12	24-12	Yes
22.	Zeisloft, Chuck	Rider	18	23-14	Yes
