Seed	Name	Team	Grade	Record	Scoring
26.	Barton, Ben	Lock Haven		24-7	Yes
16.	Berge, Brady	Penn State		9-2	Yes
28.	Brady, Connor	Virginia Tech		12-9	Yes
1.	Carr, David	Iowa State		21-0	Yes
22.	Casto, Dazjon	The Citadel		20-6	Yes
18.	Cerniglia, Andrew	Navy		27-7	Yes
20.	Cleary, Elijah	Pittsburgh		13-8	Yes
19.	Coleman, Kendall	Purdue		14-8	Yes
2.	Deakin, Ryan	Northwestern		13-0	Yes
6.	Franek, Jared	North Dakota State		23-3	Yes
23.	Hartman, Markus	Army West Point		16-8	Yes
33.	Holschlag, Derek	Northern Iowa		17-11	Yes
7.	Humphreys, Josh	Lehigh		18-3	Yes
25.	Jacques, Jarrett	Missouri		18-12	Yes
14.	Keating, Jake	Virginia		15-5	Yes
8.	Lewan, Will	Michigan		17-5	Yes
15.	Lovett, Johnny	Central Michigan		21-6	Yes
27.	Model, Garrett	Wisconsin		15-11	Yes
5.	Monday, Quincy	Princeton		20-3	Yes
11.	O`Connor, Austin	North Carolina		17-2	Yes
29.	Petite, Michael	Buffalo		16-7	Yes
30.	Richard, Hunter	Cornell		13-9	Yes
10.	Robb, Peyton	Nebraska		13-8	Yes
21.	Saldate, Chase	Michigan State		26-8	Yes
4.	Scott, Ed	NC State		22-1	Yes
31.	Sheets, Wyatt	Oklahoma State		10-8	Yes
32.	Slivka, Jordan	Ohio		25-7	Yes
3.	Teemer, Jacori	Arizona State		19-0	Yes
13.	Thomas, Justin	Oklahoma		19-7	Yes
17.	Willits, Hunter	Oregon State		13-6	Yes
12.	Wright, Jacob	Wyoming		19-6	Yes
9.	Young, Kaleb	Iowa		17-7	Yes
24.	Zapf, Doug	Pennsylvania		18-6	Yes
