Seed	Name	Team	Grade	Record	Scoring
24.	Attasauov, Ramazan	Iowa State		16-8	Yes
14.	Biscoglia, Kyle	Northern Iowa		19-7	Yes
1.	Bravo-Young, Roman	Penn State		17-0	Yes
31.	Burwick, Kyle	Wisconsin		12-15	Yes
7.	Byrd, Lucas	Illinois		21-3	Yes
10.	Cannon, Chris	Northwestern		16-5	Yes
9.	Colaiocco, Michael	Pennsylvania		21-2	Yes
25.	Courtney, Brian	Virginia		13-6	Yes
5.	DeSanto, Austin	Iowa		15-3	Yes
17.	Drury, Haiden	Utah Valley		19-6	Yes
2.	Fix, Daton	Oklahoma State		21-0	Yes
28.	Flores, Sidney	Air Force		17-12	Yes
8.	Foley, RayVon	Michigan State		28-4	Yes
29.	Gliva, Jake	Minnesota		12-13	Yes
18.	Heilmann, Joseph	North Carolina		18-7	Yes
27.	Hines, Malyke	Lehigh		9-7	Yes
13.	Hudkins, Brock	Indiana		13-5	Yes
16.	Koderhandt, Josh	Navy		25-8	Yes
30.	Koehler, Richie	Rider		21-7	Yes
32.	LaJoie, Dominic	Cornell		17-13	Yes
23.	Madrigal, Anthony	Oklahoma		12-10	Yes
3.	McGee, Michael	Arizona State		21-2	Yes
4.	Myers, Korbin	Virginia Tech		18-1	Yes
22.	Olivieri, Joe	Rutgers		21-9	Yes
15.	Orine, Kai	NC State		15-5	Yes
19.	Palmer, Brayden	Chattanooga		25-7	Yes
12.	Phillippi, Micky	Pittsburgh		15-6	Yes
6.	Ragusin, Dylan	Michigan		21-6	Yes
26.	Ramos, Matt	Purdue		18-8	Yes
20.	Rich, Chance	CSU Bakersfield		15-4	Yes
21.	Russell, Codi	Appalachian State		18-7	Yes
11.	Turner, Devan	Oregon State		20-6	Yes
33.	Zaccone, Domenick	Campbell		13-10	Yes
