Seed	Name	Team	Grade	Record	Scoring
24.	Devine, Joel	Iowa State		12-9	Yes
12.	DeVos, Cade	South Dakota State		29-7	Yes
26.	Eischens, Tyler	Stanford		19-10	Yes
13.	Finesilver, Matt	Duke		27-7	Yes
23.	Fisher, Troy	Northwestern		17-8	Yes
19.	Flitz, Thomas	Appalachian State		15-6	Yes
14.	Foca, Chris	Cornell		23-6	Yes
20.	Hastings, Hayden	Wyoming		22-7	Yes
4.	Hidlay, Hayden	NC State		14-2	Yes
17.	Incontrera, Nick	Pennsylvania		20-6	Yes
22.	Kauffman, Mason	Northern Illinois		21-9	Yes
5.	Kemerer, Michael	Iowa		9-2	Yes
16.	Kemp, Adam	Cal Poly		13-4	Yes
9.	Labriola, Mikey	Nebraska		20-4	Yes
10.	Lautt, Clay	North Carolina		15-5	Yes
2.	Lewis, Mekhi	Virginia Tech		20-1	Yes
15.	Mantanona, Anthony	Oklahoma		19-7	Yes
3.	Massa, Logan	Michigan		16-2	Yes
11.	Mocco, Peyton	Missouri		15-5	Yes
25.	Nijenhuis, Gerrit	Purdue		17-12	Yes
29.	Nivison, Jay	Buffalo		18-8	Yes
30.	Nolan, Jacob	Binghamton		19-13	Yes
8.	O`Malley, Michael	Drexel		22-2	Yes
33.	O`Neill, Connor	Rutgers		13-15	Yes
21.	O`Reilly, Bailee	Minnesota		12-6	Yes
28.	Pasiuk, Benjamin	Army West Point		19-5	Yes
27.	Perrine, Sal	Ohio		23-4	Yes
6.	Plott, Dustin	Oklahoma State		17-3	Yes
31.	Robin, Dennis	West Virginia		13-15	Yes
18.	Runyon, Lance	Northern Iowa		9-3	Yes
7.	Smith, Ethan	Ohio State		20-5	Yes
32.	Solis, Dominic	Maryland		15-15	Yes
1.	Starocci, Carter	Penn State		18-0	Yes
