Seed	Name	Team	Grade	Record	Scoring
1.	Amine, Myles	Michigan		16-1	Yes
18.	Assad, Abe	Iowa		13-8	Yes
25.	Battista, Michael	Virginia		15-6	Yes
15.	Bolen, Hunter	Virginia Tech		22-5	Yes
9.	Braunagel, Zach	Illinois		15-7	Yes
2.	Brooks, Aaron	Penn State		16-1	Yes
31.	Burkhart, AJ	Lehigh		14-13	Yes
13.	Cochran, Kyle	Maryland		25-9	Yes
8.	Coleman, Marcus	Iowa State		17-4	Yes
16.	Geer, Dakota	Oklahoma State		15-6	Yes
28.	Harvey, Gregg	Pittsburgh		10-9	Yes
3.	Hidlay, Trent	NC State		17-0	Yes
24.	Hopkins, Caleb	Campbell		17-4	Yes
33.	Jessen, Jack	Northwestern		3-11	Yes
14.	Kane, Gavin	North Carolina		15-4	Yes
4.	Keckeisen, Parker	Northern Iowa		24-1	Yes
17.	Kent, Jeremiah	Missouri		17-7	Yes
11.	Loew, Jonathan	Cornell		26-5	Yes
30.	Lyon, Max	Purdue		12-13	Yes
22.	Malczewski, Layne	Michigan State		23-10	Yes
32.	McCracken, Colin	Kent State		15-9	Yes
27.	Moore, Keegan	Oklahoma		8-4	Yes
6.	Munoz, Trey	Oregon State		20-3	Yes
20.	Poznanski, John	Rutgers		18-6	Yes
7.	Romero, Kaleb	Ohio State		13-3	Yes
19.	Salazar, Isaiah	Minnesota		14-5	Yes
21.	Samuelson, Tate	Wyoming		19-7	Yes
23.	Stefanik, Travis	Princeton		15-4	Yes
5.	Truax, Bernie	Cal Poly		15-1	Yes
10.	Venz, Taylor	Nebraska		16-8	Yes
26.	Washington, Donnell	Indiana		13-6	Yes
29.	Weiler, Christopher	Wisconsin		11-13	Yes
12.	Wilson, Brit	Northern Illinois		25-4	Yes
