Seed	Name	Team	Grade	Record	Scoring
3.	Cassioppi, Tony	Iowa		15-2	Yes
32.	Cover, Matthew	Princeton		10-8	Yes
9.	Davison, Lucas	Northwestern		22-6	Yes
20.	Doyle, Joe	Binghamton		19-7	Yes
16.	Elam, Zach	Missouri		15-5	Yes
18.	Fernandes, Lewis	Cornell		18-7	Yes
15.	Ghadiali, Taye	Campbell		19-2	Yes
26.	Goldin, Ben	Pennsylvania		19-7	Yes
33.	Gordon, Tyrell	Northern Iowa		10-15	Yes
30.	Heindselman, Josh	Oklahoma		14-13	Yes
5.	Hendrickson, Wyatt	Air Force		24-0	Yes
17.	Hillger, Trent	Wisconsin		19-6	Yes
21.	Houghton, Tyrie	NC State		20-8	Yes
4.	Kerkvliet, Greg	Penn State		18-2	Yes
31.	Knighton-Ward, Zachary	Hofstra		18-8	Yes
12.	Lance, Christian	Nebraska		16-8	Yes
14.	Luffman, Luke	Illinois		15-10	Yes
28.	McAleavey, Michael	The Citadel		25-10	Yes
29.	Metz, Brandon	North Dakota State		16-9	Yes
23.	Miller, Quinn	Virginia		18-7	Yes
22.	Nevills, AJ	South Dakota State		27-11	Yes
13.	Orndorff, Tate	Ohio State		16-9	Yes
7.	Parris, Mason	Michigan		15-4	Yes
25.	Reid, Isaac	Lock Haven		20-2	Yes
2.	Schultz, Cohlton	Arizona State		18-0	Yes
24.	Schuyler, Sam	Iowa State		17-6	Yes
8.	Stencel, Matt	Central Michigan		18-4	Yes
1.	Steveson, Gable	Minnesota		13-0	Yes
19.	Surber, Luke	Oklahoma State		13-8	Yes
11.	Traub, Gary	Oregon State		20-5	Yes
10.	Traxler, Nathan	Virginia Tech		19-2	Yes
27.	Wolfgram, Michael	West Virginia		20-9	Yes
6.	Wood, Jordan	Lehigh		22-2	Yes
