Seed	Name	Team	Grade	Record	Scoring
23.	Abas, Jaden	Stanford		18-7	Yes
11.	Andonian, Bryce	Virginia Tech		8-3	Yes
29.	Arceri, John	Buffalo		22-10	Yes
18.	Artalona, Anthony	Pennsylvania		14-5	Yes
13.	Bartlett, Beau	Penn State		14-8	Yes
31.	Blockhus, Michael	Minnesota		13-13	Yes
22.	Brignola, Max	Lehigh		18-6	Yes
27.	Crooks, Cory	Oregon State		13-9	Yes
17.	Degen, Jarrett	Iowa State		18-5	Yes
1.	Diakomihalis, Yianni	Cornell		23-0	Yes
26.	Edmond, Josh	Missouri		17-9	Yes
33.	Farber, Dashawn	Lock Haven		13-15	Yes
14.	Finesilver, Josh	Duke		26-5	Yes
9.	Gfeller, Kaden	Oklahoma State		18-2	Yes
3.	Gomez, Austin	Wisconsin		18-2	Yes
7.	Heil, Joshua	Campbell		11-2	Yes
30.	Keller, Marshall	Princeton		9-12	Yes
28.	Komara, Kody	Kent State		16-11	Yes
15.	Lamer, Legend	Cal Poly		14-5	Yes
10.	Lovett, Ridge	Nebraska		20-3	Yes
16.	McDougald, Willie	Oklahoma		12-5	Yes
6.	Millner, Jonathan	Appalachian State		19-1	Yes
25.	Munson, Corbyn	Central Michigan		25-7	Yes
8.	Murin, Max	Iowa		12-3	Yes
24.	Ogunsanya, PJ	Army West Point		12-4	Yes
5.	Parco, Kyle	Arizona State		21-1	Yes
20.	Realbuto, Colin	Northern Iowa		16-10	Yes
21.	Robinson, Marcus	Cleveland State		17-4	Yes
4.	Sasso, Sammy	Ohio State		21-2	Yes
32.	Sherman, Zachary	North Carolina		8-9	Yes
19.	Thomas, Yahya	Northwestern		13-6	Yes
12.	Van Brill, Mike	Rutgers		20-4	Yes
2.	Wilson, Tariq	NC State		15-0	Yes
