Seed	Name	Team	Grade	Record	Scoring
17.	Aiello, Jay	Virginia		13-3	Yes
23.	Amos, Braxton	Wisconsin		17-9	Yes
10.	Bastida, Yonger	Iowa State		19-5	Yes
24.	Bockman, Evan	Utah Valley		14-9	Yes
5.	Bonaccorsi, Nino	Pittsburgh		15-3	Yes
31.	Brown, JT	Army West Point		13-10	Yes
4.	Brucki, Patrick	Michigan		20-6	Yes
2.	Buchanan, Stephen	Wyoming		23-2	Yes
14.	Bulsak, Greg	Rutgers		22-6	Yes
9.	Caffey, Cameron	Michigan State		26-7	Yes
19.	Cardenas, Jacob	Cornell		22-6	Yes
27.	Clothier, Alan	Northern Colorado		14-11	Yes
28.	Davison, Andrew	Northwestern		12-10	Yes
1.	Dean, Max	Penn State		18-1	Yes
8.	Deprez, Lou	Binghamton		26-3	Yes
7.	Elam, Rocky	Missouri		19-5	Yes
32.	Feldkamp, Will	Clarion		19-4	Yes
26.	Foy, Michial	Minnesota		14-12	Yes
21.	Hoffman, Gavin	Ohio State		14-10	Yes
20.	Koser, Jacob	Navy		25-7	Yes
16.	Norfleet, Kordell	Arizona State		14-3	Yes
11.	Penola, Thomas	Purdue		22-7	Yes
22.	Pentz, Owen	North Dakota State		17-7	Yes
3.	Schultz, Eric	Nebraska		16-2	Yes
12.	Sloan, Tanner	South Dakota State		20-5	Yes
25.	Smith, Jaron	Maryland		17-13	Yes
29.	Smith, Benjamin	Cleveland State		20-4	Yes
18.	Stout, Luke	Princeton		20-5	Yes
15.	Trumble, Isaac	NC State		17-4	Yes
30.	Urbas, Cole	Pennsylvania		23-9	Yes
33.	Waddell, Matthew	Chattanooga		17-10	Yes
6.	Warner, Jacob	Iowa		17-5	Yes
13.	Woodley, Jake	Oklahoma		23-8	Yes
