Seed	Name	Team	Grade	Record	Scoring
6.	Amine, Cameron	Michigan		16-5	Yes
30.	Barczak, Evan	Drexel		21-9	Yes
21.	Bullard, Thomas	NC State		17-6	Yes
28.	Carlson, Cael	Minnesota		17-14	Yes
25.	Cassella, Brevin	Binghamton		21-13	Yes
8.	Conigliaro, Philip	Harvard		19-4	Yes
23.	Eyler, Ashton	Lock Haven		29-9	Yes
32.	Ferrante, David	Northwestern		11-11	Yes
31.	Fish, Caleb	Michigan State		22-12	Yes
20.	Formato, William	Appalachian State		22-7	Yes
5.	Griffith, Shane	Stanford		16-4	Yes
9.	Hall, Peyton	West Virginia		25-3	Yes
4.	Hamiti, Dean	Wisconsin		24-2	Yes
12.	Hartman, Zach	Bucknell		27-4	Yes
7.	Kharchla, Carson	Ohio State		21-3	Yes
3.	Marinelli, Alex	Iowa		20-1	Yes
19.	McCoy, Justin	Virginia		17-2	Yes
17.	Meyer, Brian	Lehigh		14-10	Yes
22.	Mosley, Rodrick	Gardner-Webb		18-6	Yes
29.	Nicholson, Andrew	Chattanooga		18-7	Yes
14.	Ogunsanya, Joshua	Columbia		19-6	Yes
11.	Olejnik, Izzak	Northern Illinois		24-4	Yes
33.	Olguin, Matthew	Oregon State		12-10	Yes
2.	O`Toole, Keegan	Missouri		20-0	Yes
13.	Ramirez, Julian	Cornell		19-8	Yes
26.	Revano, Lucas	Pennsylvania		19-11	Yes
24.	Smucker, Riley	Cleveland State		21-4	Yes
18.	Valencia, Anthony	Arizona State		16-6	Yes
16.	Weber, Luke	North Dakota State		21-7	Yes
10.	Wentzel, Jake	Pittsburgh		16-5	Yes
1.	Wick, Evan	Cal Poly		17-0	Yes
27.	Wilson, Clayton	Nebraska		13-12	Yes
15.	Yant, Austin	Northern Iowa		17-5	Yes
