Seed	Name	Team	Grade	Record	Scoring
2.	Arujau, Vito	Cornell		14-1	Yes
33.	Ashton, Logan	Stanford		7-5	Yes
13.	Ayala, Drake	Iowa		16-6	Yes
6.	Barnett, Eric	Wisconsin		16-3	Yes
14.	Camacho, Jakob	NC State		16-4	Yes
27.	Cardani, Justin	Illinois		12-9	Yes
5.	Cardinale, Killian	West Virginia		14-1	Yes
4.	Courtney, Brandon	Arizona State		21-1	Yes
10.	DeAugustino, Michael	Northwestern		10-4	Yes
3.	Glory, Pat	Princeton		16-1	Yes
20.	Gutierrez, Fabian	Chattanooga		20-5	Yes
12.	Heinselman, Malik	Ohio State		19-5	Yes
16.	Hildebrandt, Drew	Penn State		9-3	Yes
11.	Kaylor, Brandon	Oregon State		19-4	Yes
30.	Koelzer, Jace	Northern Colorado		14-9	Yes
21.	LaMont, Taylor	Utah Valley		10-4	Yes
24.	Latona, Sam	Virginia Tech		12-7	Yes
31.	Lorenzo, Antonio	Cal Poly		20-9	Yes
29.	Manchio, Joe	Columbia		15-10	Yes
7.	Mastrogiovanni, Trevor	Oklahoma State		18-3	Yes
32.	McCormick, Patrick	Virginia		14-11	Yes
8.	McKee, Patrick	Minnesota		20-7	Yes
28.	Meink, Korbin	Campbell		14-6	Yes
22.	Miller, Ryan	Pennsylvania		19-6	Yes
17.	Noto, Anthony	Lock Haven		29-1	Yes
19.	Prata, Joey	Oklahoma		16-7	Yes
9.	Schroder, Devin	Purdue		19-4	Yes
23.	Shawver, Dylan	Rutgers		21-9	Yes
25.	Smith, Caleb	Appalachian State		23-6	Yes
1.	Suriano, Nick	Michigan		11-0	Yes
18.	Surtin, Noah	Missouri		19-7	Yes
26.	Terukina, Kysen	Iowa State		15-6	Yes
15.	Teske, Brody	Northern Iowa		12-6	Yes
