Seed	Name	Team	Grade	Record	Scoring
5.	Alirez, Andrew	Northern Colorado		22-3	Yes
10.	Bergeland, Jakob	Minnesota		17-7	Yes
30.	Butler, Jacob	Oklahoma		8-13	Yes
7.	Carlson, Clay	South Dakota State		30-4	Yes
33.	Cedeno, Dylan	Virginia		5-6	Yes
15.	Clarke, Kizhan	North Carolina		17-3	Yes
12.	Composto, CJ	Pennsylvania		19-4	Yes
21.	Droegemueller, Dylan	North Dakota State		14-8	Yes
17.	D`Emilio, Dylan	Ohio State		21-9	Yes
2.	Eierman, Jaydin	Iowa		16-1	Yes
20.	Filius, Parker	Purdue		21-11	Yes
28.	Gerardi, Collin	Virginia Tech		12-9	Yes
31.	Gil, Wilfredo	Franklin & Marshall		28-6	Yes
22.	Hanna, Shannon	Campbell		17-5	Yes
9.	Hart, Allan	Missouri		15-5	Yes
18.	Jack, Ryan	NC State		16-7	Yes
11.	Kazimir, Matt	Columbia		22-4	Yes
16.	Kinner, Quinn	Rider		18-6	Yes
1.	Lee, Nick	Penn State		17-0	Yes
32.	Mason, Josh	Bloomsburg		19-9	Yes
6.	Matthews, Cole	Pittsburgh		17-2	Yes
29.	McGonagle, Connor	Lehigh		11-9	Yes
24.	Micic, Stevan	Michigan		10-6	Yes
13.	Parker, Ian	Iowa State		12-3	Yes
19.	Red, Chad	Nebraska		12-6	Yes
3.	Rivera, Sebastian	Rutgers		24-0	Yes
14.	Simon, Dresden	Central Michigan		18-5	Yes
26.	Tal Shahar, Frankie	Northwestern		11-8	Yes
8.	Willits, Grant	Oregon State		24-5	Yes
23.	Willochell, Gabe	Edinboro		23-8	Yes
4.	Woods, Real	Stanford		14-1	Yes
25.	Young, Carter	Oklahoma State		12-7	Yes
27.	Zargo, Joseph	Wisconsin		15-10	Yes
