Seed	Name	Team	Grade	Record	Scoring
9.	Askey, Tommy	Minnesota		23-5	Yes
11.	Bianchi, Matty	Little Rock		23-4	Yes
8.	Blaze, Joey	Purdue		20-5	Yes
5.	Cannon, Brandon	Ohio State		20-3	Yes
31.	Castillo, Noah	Chattanooga		16-4	Yes
16.	Chittum, Cody	Iowa State		18-6	Yes
27.	Cholakyan, Grigor	Stanford		15-9	Yes
20.	Chumbley, Trevor	Northwestern		13-6	Yes
30.	Conway, James	Missouri		17-15	Yes
6.	Downey, Ryder	Northern Iowa		25-4	Yes
24.	Evans, Dylan	Pittsburgh		21-7	Yes
33.	Fedalen, Richard	Columbia		20-13	Yes
12.	Fish, Caleb	Oklahoma State		18-9	Yes
28.	Hamblin, Christopher	Oregon State		22-6	Yes
29.	Harrington, James	Harvard		14-12	Yes
13.	Hill, Jared	Wyoming		24-10	Yes
4.	Hipolito, Rafael	Virginia Tech		17-3	Yes
32.	Johnson, Landen	Northern Illinois		16-11	Yes
1.	Kasak, Tyler	Penn State		17-1	Yes
15.	Lovett, Johnny	Central Michigan		30-5	Yes
17.	McGee, DJ	George Mason		21-5	Yes
10.	Miller, Ethen	Maryland		22-3	Yes
21.	Rozynski, Logan	Lehigh		19-5	Yes
26.	Saito, Blake	Brown		21-5	Yes
23.	Saldate, Chase	Michigan		10-9	Yes
25.	Santiago, Sonny	North Carolina		11-8	Yes
22.	Scott, Ed	NC State		13-6	Yes
2.	Shapiro, Meyer	Cornell		11-1	Yes
19.	Siebrecht, Cobe	South Dakota State		13-8	Yes
14.	Swisher, Jude	Pennsylvania		23-7	Yes
3.	Taylor, Antrell	Nebraska		22-4	Yes
18.	Teemer, Jacori	Iowa		8-4	Yes
7.	Zerban, Vinny	Northern Colorado		18-4	Yes
