Seed	Name	Team	Grade	Record	Scoring
24.	Alvan, Cesar	Columbia		24-9	Yes
33.	Amaker, Chandler	Central Michigan		14-12	Yes
8.	Amine, Cameron	Oklahoma State		16-7	Yes
4.	Barraclough, Terrell	Utah Valley		27-2	Yes
21.	Bianchi, Joseph	Little Rock		13-5	Yes
3.	Caliendo, Mike	Iowa		20-2	Yes
28.	Church, Mac	Virginia Tech		14-12	Yes
29.	Fields, Derek	NC State		14-12	Yes
20.	Filipowicz, Gunner	Army West Point		24-4	Yes
26.	Gallagher, Paddy	Ohio State		17-8	Yes
7.	Garvin, Hunter	Stanford		19-6	Yes
31.	Goebel, Cody	Wisconsin		13-9	Yes
2.	Hall, Peyton	West Virginia		30-1	Yes
25.	Hamilton, Nick	Virginia		11-3	Yes
32.	Keslar, Jared	Pittsburgh		10-11	Yes
27.	Lillard, Tyler	Indiana		19-9	Yes
6.	Mantanona, Beau	Michigan		15-4	Yes
18.	Mayfield, Maxx	Northwestern		18-10	Yes
1.	Mesenbrink, Mitchell	Penn State		22-0	Yes
13.	Miller, Will	Appalachian State		20-2	Yes
12.	Minto, Christopher	Nebraska		19-5	Yes
16.	Mosher, Kyle	Hofstra		17-8	Yes
17.	Mulvaney, Noah	Bucknell		13-6	Yes
22.	Munguia, Enrique	Rider		21-6	Yes
5.	Ramirez, Julian	Cornell		20-1	Yes
14.	Rhodes, Drake	South Dakota State		20-5	Yes
30.	Riggins, Aiden	Iowa State		14-17	Yes
15.	Ruiz, Nicco	Arizona State		13-7	Yes
11.	Scoles, Braeden	Illinois		16-5	Yes
23.	Snipes, Thomas	The Citadel		27-7	Yes
10.	Sparks, Andrew	Minnesota		23-7	Yes
9.	Steed, Cam	Missouri		14-5	Yes
19.	Thomsen, Jack	Northern Iowa		19-10	Yes
