Seed	Name	Team	Grade	Record	Scoring
12.	Allred, Silas	Nebraska		19-6	Yes
11.	Arnold, Gabe	Iowa		17-4	Yes
5.	Berge, Bennett	South Dakota State		26-5	Yes
13.	Bockman, Evan	Iowa State		14-7	Yes
23.	Brenot, Aidan	North Dakota State		20-15	Yes
16.	Cartagena-Walsh, Shane	Rutgers		21-11	Yes
7.	Dean, Isaac	Rider		24-7	Yes
21.	DuVall, Malachi	George Mason		19-5	Yes
30.	Fegley, Colin	Lock Haven		21-10	Yes
20.	Fine, Nick	Columbia		14-8	Yes
15.	Fishback, Dylan	NC State		13-6	Yes
6.	Foca, Chris	Cornell		19-1	Yes
18.	Hale, Maximus	Pennsylvania		17-8	Yes
31.	Hawks, Colton	Missouri		10-7	Yes
9.	Heller, Reece	Pittsburgh		20-3	Yes
24.	Hendricks, Devan	Bellarmine		21-9	Yes
17.	Kane, Gavin	North Carolina		20-7	Yes
2.	Keckeisen, Parker	Northern Iowa		24-0	Yes
33.	McDonnell, TJ	Oregon State		7-13	Yes
3.	McEnelly, Max	Minnesota		20-1	Yes
27.	McFarland, Ross	Hofstra		16-7	Yes
25.	McGill, Jared	Edinboro		12-5	Yes
29.	Mulhauser, Kole	Princeton		13-9	Yes
19.	Neitenbach, Eddie	Wyoming		13-7	Yes
14.	Parker, DJ	Oklahoma		18-6	Yes
4.	Plott, Dustin	Oklahoma State		18-4	Yes
28.	Robin, Dennis	West Virginia		19-12	Yes
32.	Rogers, Caden	Lehigh		14-6	Yes
26.	Rogotzke, Ryder	Ohio State		10-9	Yes
10.	Ruth, Edmond	Illinois		14-7	Yes
8.	Smith, Jaxon	Maryland		20-7	Yes
1.	Starocci, Carter	Penn State		21-0	Yes
22.	Washington, Donnell	Indiana		14-8	Yes
