Seed	Name	Team	Grade	Record	Scoring
2.	Ayala, Drake	Iowa		16-2	Yes
3.	Bailey, Nasir	Little Rock		21-3	Yes
27.	Berginc, Ethan	Army West Point		25-6	Yes
20.	Boarman, Blake	Chattanooga		21-6	Yes
7.	Bouzakis, Nic	Ohio State		22-6	Yes
9.	Brown, Braxton	Maryland		23-4	Yes
24.	Burwick, Kyle	North Dakota State		25-11	Yes
1.	Byrd, Lucas	Illinois		18-1	Yes
28.	Camacho, Colton	Edinboro		29-12	Yes
30.	Cardinal, Derrick	South Dakota State		19-14	Yes
8.	Davis, Braeden	Penn State		12-5	Yes
19.	Davis, Takeo	Gardner-Webb		25-6	Yes
18.	Farber, Julian	Northern Iowa		17-6	Yes
29.	Ferrara, Tyler	Cornell		12-5	Yes
11.	Frost, Evan	Iowa State		19-4	Yes
14.	Fugitt, Zan	Wisconsin		20-7	Yes
13.	Knox, Tyler	Stanford		24-6	Yes
32.	Leake, Hunter	California Baptist		6-8	Yes
6.	McGonagle, Connor	Virginia Tech		15-1	Yes
16.	Miller, Ryan	Pennsylvania		22-6	Yes
31.	Moore, Kade	Missouri		12-17	Yes
15.	Noto, Anthony	Lock Haven		20-6	Yes
12.	Oakley, Ethan	North Carolina		21-5	Yes
26.	Orine, Kai	NC State		12-7	Yes
25.	Phipps, Kurt	Bucknell		22-8	Yes
21.	Rini, Angelo	Indiana		20-9	Yes
4.	Romney, Zeth	Cal Poly		14-4	Yes
5.	Serrano, Dominick	Northern Colorado		21-2	Yes
10.	Shawver, Dylan	Rutgers		19-9	Yes
23.	Spidle, Sean	Central Michigan		27-9	Yes
17.	Van Dee, Jacob	Nebraska		14-9	Yes
22.	Wells, Tyler	Minnesota		11-8	Yes
33.	Wertanen, Nolan	Michigan		7-18	Yes
