Seed	Name	Team	Grade	Record	Scoring
22.	Anderson, Trever	Northern Iowa		16-11	Yes
24.	Babin, Nick	Pittsburgh		13-9	Yes
31.	Castro-Sandoval, Richard	CSU Bakersfield		17-10	Yes
29.	Cruz, Joey	Iowa		14-12	Yes
27.	Daugherty, Tristan	North Dakota State		10-14	Yes
25.	Farmer, Charlie	Army West Point		22-8	Yes
5.	Figueroa, Richard	Arizona State		16-2	Yes
19.	Flynn, Cooper	Minnesota		14-6	Yes
17.	Gallagher, Max	Pennsylvania		25-8	Yes
28.	Holeman, Koda	Cal Poly		19-11	Yes
23.	Jordan, Tanner	South Dakota State		23-8	Yes
1.	Lilledahl, Luke	Penn State		19-2	Yes
21.	Lorenzo, Antonio	Oklahoma		18-9	Yes
20.	McCrone, Brendan	Ohio State		21-9	Yes
13.	McGowan, Marc-Anthony	Princeton		15-2	Yes
32.	Milani, Marcello	Cornell		16-11	Yes
14.	Moore, Spencer	North Carolina		16-7	Yes
18.	Moran, Jacob	Indiana		24-9	Yes
12.	Peterson, Dean	Rutgers		20-6	Yes
10.	Poulin, Stevo	Northern Colorado		20-3	Yes
2.	Ramos, Matt	Purdue		26-1	Yes
15.	Renteria, Maximo	Oregon State		14-7	Yes
11.	Rivera, Nicolar	Wisconsin		21-5	Yes
4.	Robinson, Vincent	NC State		18-3	Yes
26.	Roller, Keyveon	Virginia		14-7	Yes
8.	Seymour, Sheldon	Lehigh		19-3	Yes
30.	Sims, Gylon	The Citadel		25-7	Yes
9.	Smith, Caleb	Nebraska		19-5	Yes
7.	Spratley, Troy	Oklahoma State		20-4	Yes
6.	Strickenberger, Jett	West Virginia		17-6	Yes
3.	Ventresca, Eddie	Virginia Tech		18-3	Yes
33.	Weiand, Caleb	Michigan State		12-16	Yes
16.	West, Blake	Northern Illinois		22-5	Yes
