Seed	Name	Team	Grade	Record	Scoring
17.	Abas, Jaden	Stanford		20-10	Yes
11.	Alvarez, Sammy	Rider		20-5	Yes
20.	Buesgens, Koy	NC State		16-11	Yes
31.	Cartella, Sam	Northwestern		16-10	Yes
27.	Cassidy, Kaden	George Mason		19-5	Yes
19.	Clark, Andrew	Rutgers		22-13	Yes
32.	Denkins, Wynton	Campbell		32-11	Yes
23.	DesRosier, Carson	The Citadel		25-5	Yes
22.	Drexler, Gavin	North Dakota State		20-9	Yes
13.	D`Emilio, Dylan	Ohio State		21-5	Yes
18.	Fernandez, Ethan	Cornell		17-8	Yes
28.	Gilcher, Dylan	Michigan		10-10	Yes
29.	Gioffre, Jack	Virginia		9-6	Yes
1.	Henson, Caleb	Virginia Tech		18-0	Yes
25.	Hines, Malyke	Lehigh		14-7	Yes
4.	Johnson, Paniro	Iowa State		25-4	Yes
14.	Lamer, Chance	Cal Poly		14-2	Yes
2.	Lovett, Ridge	Nebraska		20-2	Yes
16.	McDaniel, Trae	Army West Point		26-8	Yes
21.	McDougald, Willie	Oklahoma		20-6	Yes
6.	McNeil, Lachlan	North Carolina		20-5	Yes
26.	Miller, Kal	Maryland		21-10	Yes
5.	Parco, Kyle	Iowa		20-3	Yes
10.	Realbuto, Colin	Northern Iowa		21-5	Yes
24.	Shrader, Mason	Central Michigan		24-8	Yes
12.	Stiles, Ethan	Oregon State		15-5	Yes
33.	Travis, Teague	Oklahoma State		4-3	Yes
3.	Van Ness, Shayne	Penn State		20-2	Yes
9.	Wasilewski, Cross	Pennsylvania		22-3	Yes
7.	Webster, Kannon	Illinois		14-6	Yes
15.	Whalen, Ty	Princeton		20-3	Yes
8.	Williams, Jordan	Little Rock		24-4	Yes
30.	Willochell, Gabe	Wyoming		17-12	Yes
