Seed	Name	Team	Grade	Record	Scoring
8.	Alirez, Andrew	Northern Colorado		16-1	Yes
2.	Bartlett, Beau	Penn State		21-1	Yes
13.	Carter, Todd	Gardner-Webb		20-3	Yes
11.	Cedeno, Dylan	Virginia		14-1	Yes
21.	Chappell, Dylan	Bucknell		19-10	Yes
27.	Clark, Greyson	Purdue		14-11	Yes
10.	Composto, CJ	Pennsylvania		23-3	Yes
23.	Edmond, Josh	Missouri		13-10	Yes
33.	Frezza, Lorenzo	Columbia		5-2	Yes
9.	Frost, Jacob	Iowa State		30-7	Yes
17.	Hanna, Shannon	Campbell		25-8	Yes
5.	Happel, Cael	Northern Iowa		24-3	Yes
1.	Hardy, Brock	Nebraska		23-3	Yes
16.	Henson, Wyatt	Lock Haven		26-4	Yes
7.	Jamison, Tagen	Oklahoma State		20-4	Yes
4.	Koderhandt, Josh	Navy		23-3	Yes
12.	Latona, Sam	Virginia Tech		23-7	Yes
14.	Lemley, Sergio	Michigan		20-9	Yes
3.	Mendez, Jesse	Ohio State		25-3	Yes
24.	Miranda, Jason	Stanford		20-7	Yes
15.	Olivieri, Joseph	Rutgers		18-9	Yes
30.	Priest, Briar	Pittsburgh		12-9	Yes
28.	Pucino, Danny	Illinois		13-6	Yes
25.	Rallo, AJ	Bellarmine		15-6	Yes
26.	Rivera, Eligh	Princeton		17-7	Yes
20.	Saunders, Joshua	Cornell		18-6	Yes
19.	Schwartz, Mosha	Oklahoma		14-6	Yes
29.	Scott, Jayden	North Carolina		14-12	Yes
32.	Singleton, Nash	Oregon State		11-9	Yes
22.	Soriano, Jordan	Drexel		19-7	Yes
18.	Tagg, Julian	South Dakota State		16-11	Yes
31.	Titus, Jordan	West Virginia		12-16	Yes
6.	VomBaur, Vance	Minnesota		23-4	Yes
